frame_id,track_id_a,track_id_b,stage,score_total,score_traj,score_rel,score_y,score_size,score_center,score_temp,score_support,conf_a,conf_b,boxh_a_ratio,boxh_b_ratio,y_a_ratio,y_b_ratio,consecutive_hits
29,4,14,core,0.834008,0.734508,0.878507,0.819641,0.803794,0.770719,1.0,0.0,0.8201,0.7776,0.049444,0.045806,0.497014,0.487069,18
29,5,8,core,0.771441,0.644492,0.658955,0.769981,0.880915,0.827008,1.0,0.0,0.7859,0.8071,0.048972,0.051194,0.502264,0.515333,8
29,6,1,core,0.789591,0.785761,0.73026,0.923886,0.857397,0.534219,0.6,0.0,0.8786,0.8662,0.105972,0.100417,0.667611,0.671569,4
29,25,26,core,0.823351,0.778108,0.819059,0.650148,0.985653,0.844055,1.0,0.0,0.8643,0.859,0.112306,0.112875,0.721097,0.742625,8
30,4,14,core,0.775351,0.736745,0.662674,0.806541,0.794881,0.771187,1.0,0.0,0.8409,0.7822,0.049472,0.045653,0.498028,0.487278,19
30,6,1,core,0.812204,0.791098,0.755078,0.914439,0.897832,0.531883,0.7,0.0,0.8726,0.86,0.107306,0.103333,0.671444,0.675917,5
30,25,26,core,0.835057,0.818855,0.811069,0.669204,0.997811,0.851961,1.0,0.0,0.8594,0.849,0.108681,0.108597,0.710069,0.730153,9
31,4,14,core,0.82884,0.727166,0.86391,0.780967,0.849887,0.771367,1.0,0.0,0.8301,0.7772,0.049694,0.046944,0.499431,0.487069,20
31,25,26,core,0.799439,0.77954,0.681378,0.696321,0.975474,0.859773,1.0,0.0,0.8657,0.8688,0.105931,0.105014,0.700625,0.718722,10
32,4,14,core,0.836335,0.720148,0.858065,0.773841,0.908706,0.771898,1.0,0.0,0.8483,0.7821,0.049736,0.048097,0.500319,0.4875,21
32,25,26,core,0.812542,0.866268,0.671156,0.698064,0.984732,0.867,1.0,0.0,0.8693,0.8727,0.102889,0.103444,0.691444,0.709417,11
33,25,26,core,0.803532,0.796263,0.671174,0.70606,0.98063,0.873156,1.0,0.0,0.8602,0.8571,0.099069,0.09975,0.682542,0.699944,12
34,25,26,core,0.817645,0.838473,0.686431,0.729992,0.969144,0.878797,1.0,0.0,0.8652,0.8551,0.098028,0.096958,0.67475,0.690486,13
35,25,26,core,0.816034,0.842891,0.680203,0.727967,0.966298,0.885969,1.0,0.0,0.871,0.8587,0.095486,0.094347,0.665958,0.681833,14
36,25,26,core,0.845848,0.807389,0.805054,0.723331,0.990195,0.892086,1.0,0.0,0.8605,0.8605,0.092792,0.092472,0.657708,0.673903,15
37,25,26,core,0.845053,0.817966,0.796174,0.742879,0.963439,0.898141,1.0,0.0,0.8591,0.863,0.091153,0.089972,0.650792,0.665653,16
38,25,26,core,0.840545,0.780847,0.812329,0.766993,0.917018,0.903672,1.0,0.0,0.8618,0.8533,0.089292,0.086625,0.643514,0.656778,17
39,25,26,core,0.857467,0.82157,0.824026,0.745981,0.981237,0.909656,1.0,0.0,0.8643,0.8528,0.086181,0.085611,0.635889,0.650542,18
39,28,27,core,0.76844,0.782381,0.729992,0.8151,0.871657,0.809563,0.5,0.0,0.8645,0.8615,0.112736,0.107444,0.746153,0.756375,3
40,25,26,core,0.850753,0.82082,0.855515,0.725544,0.933101,0.914906,1.0,0.0,0.8644,0.853,0.084361,0.086431,0.629486,0.645528,19
40,28,27,core,0.804114,0.885151,0.736693,0.789474,0.946024,0.811906,0.6,0.0,0.8593,0.8744,0.109042,0.106944,0.736917,0.748736,4
41,25,26,core,0.87902,0.783608,0.929899,0.751179,0.976013,0.920133,1.0,0.0,0.8761,0.8603,0.083,0.083708,0.624028,0.638333,20
41,28,27,core,0.818309,0.861617,0.737354,0.809684,0.957815,0.814875,0.7,0.0,0.8639,0.864,0.106681,0.105083,0.729125,0.739681,5
42,25,26,core,0.892938,0.854828,0.930951,0.764653,0.972961,0.924422,1.0,0.0,0.8577,0.8586,0.081458,0.080681,0.617819,0.631236,21
42,28,27,core,0.812241,0.787254,0.724193,0.772982,0.994981,0.817258,0.8,0.0,0.8717,0.8535,0.102611,0.102431,0.719611,0.732486,6
43,25,26,core,0.881759,0.783688,0.931326,0.751179,0.985512,0.929539,1.0,0.0,0.8484,0.868,0.079056,0.078653,0.611181,0.625486,22
43,28,27,core,0.822907,0.833893,0.724443,0.757255,0.98206,0.819727,0.9,0.0,0.8778,0.8798,0.101153,0.100514,0.71175,0.725653,7
44,5,6,core,0.773264,0.62151,0.819445,0.805646,0.902641,0.864734,0.5,0.0,0.7834,0.8143,0.043778,0.042236,0.478208,0.489014,3
44,25,26,core,0.884736,0.806333,0.956316,0.744325,0.959709,0.93368,1.0,0.0,0.8617,0.8561,0.07775,0.076639,0.605056,0.619819,23
44,28,27,core,0.824788,0.786383,0.730119,0.761685,0.963835,0.82225,1.0,0.0,0.8596,0.8807,0.098667,0.097403,0.704056,0.717667,8
45,28,27,core,0.825287,0.822536,0.737767,0.725343,0.974536,0.824445,1.0,0.0,0.8625,0.8705,0.096486,0.097361,0.696028,0.712083,9
46,28,27,core,0.806374,0.830723,0.734421,0.703319,0.904944,0.826844,1.0,0.0,0.8625,0.8687,0.094083,0.097431,0.688597,0.706194,10
47,28,27,core,0.818755,0.807624,0.736,0.700006,0.985778,0.829094,1.0,0.0,0.8492,0.8751,0.093958,0.094431,0.68225,0.700083,11
48,25,26,core,0.799716,0.798226,0.860867,0.697289,0.964479,0.950953,0.5,0.0,0.8684,0.8624,0.074139,0.075083,0.584806,0.602833,3
48,28,27,core,0.807304,0.789144,0.725384,0.70371,0.950404,0.831563,1.0,0.0,0.8587,0.86,0.092875,0.091236,0.676528,0.694097,12
49,25,26,core,0.803527,0.804487,0.868884,0.683861,0.934755,0.954328,0.6,0.0,0.8707,0.8676,0.072653,0.074389,0.580208,0.599208,4
49,28,27,core,0.813782,0.778596,0.782346,0.69131,0.934262,0.834523,1.0,0.0,0.8777,0.8639,0.090944,0.088806,0.670153,0.688611,13
50,4,14,core,0.771816,0.787369,0.834284,0.773196,0.818425,0.763102,0.5,0.0,0.8542,0.8231,0.058444,0.054486,0.526042,0.513181,3
50,25,26,core,0.799279,0.811527,0.794073,0.668461,0.970118,0.957867,0.7,0.0,0.8605,0.8666,0.072861,0.073639,0.575931,0.596069,5
50,28,27,core,0.79425,0.784385,0.699493,0.656317,0.978892,0.837219,1.0,0.0,0.8624,0.8666,0.08775,0.087097,0.663319,0.684375,14
51,4,14,core,0.789389,0.744312,0.87199,0.796522,0.812833,0.760953,0.6,0.0,0.8608,0.8165,0.059556,0.055389,0.527542,0.516167,4
51,5,17,core,0.811659,0.650835,0.890185,0.90685,0.914865,0.636047,0.5,0.0,0.7661,0.725,0.040833,0.042125,0.467333,0.462444,3
51,25,26,core,0.806832,0.806848,0.776121,0.654678,1.0,0.962109,0.8,0.0,0.8482,0.8501,0.071667,0.071667,0.571472,0.592653,6
52,4,14,core,0.79517,0.797809,0.795231,0.824436,0.813347,0.758242,0.7,0.0,0.8632,0.8277,0.060528,0.056306,0.529097,0.519444,5
52,5,17,core,0.818214,0.652723,0.877667,0.96373,0.840861,0.635672,0.6,0.0,0.7743,0.7489,0.040417,0.042944,0.466125,0.464278,4
52,25,26,core,0.809135,0.822234,0.797185,0.635153,0.947175,0.965602,0.9,0.0,0.8468,0.8609,0.068806,0.070125,0.566625,0.589319,7
53,4,14,core,0.810185,0.747499,0.78725,0.861186,0.840653,0.756414,0.8,0.0,0.8686,0.8021,0.0615,0.057875,0.530361,0.522889,6
53,5,17,core,0.803151,0.645705,0.822394,0.96159,0.792872,0.6345,0.7,0.0,0.7667,0.7626,0.040375,0.043792,0.464917,0.466875,5
54,4,14,core,0.84814,0.78395,0.850468,0.898576,0.827851,0.75432,0.9,0.0,0.8671,0.825,0.063167,0.059125,0.532222,0.526875,7
54,5,17,core,0.779545,0.643663,0.858113,0.881762,0.681715,0.633672,0.8,0.0,0.7739,0.7693,0.039681,0.045375,0.463444,0.469736,6
55,4,14,core,0.843912,0.762683,0.813047,0.923373,0.788876,0.752594,1.0,0.0,0.8631,0.8344,0.065042,0.059861,0.534667,0.530681,8
55,5,17,core,0.74747,0.577532,0.756864,0.819413,0.725538,0.633258,0.9,0.0,0.7465,0.7757,0.040319,0.045111,0.462167,0.472125,7
56,4,14,core,0.845062,0.752741,0.822244,0.945434,0.763437,0.750883,1.0,0.0,0.8523,0.8425,0.064708,0.058875,0.536708,0.533903,9
56,5,17,core,0.753952,0.600986,0.783619,0.756414,0.73576,0.632883,1.0,0.0,0.7455,0.7883,0.040181,0.044736,0.460778,0.474736,8
57,1,27,core,0.796166,0.737271,0.818235,0.914439,0.844252,0.671125,0.5,0.0,0.8719,0.8685,0.084972,0.080083,0.657264,0.661736,3
57,4,14,core,0.873429,0.817331,0.817227,0.984838,0.814492,0.748281,1.0,0.0,0.8358,0.8221,0.064736,0.06025,0.539194,0.538431,10
58,1,27,core,0.799569,0.756431,0.824181,0.947011,0.747425,0.676422,0.6,0.0,0.87,0.8665,0.085736,0.077431,0.655444,0.658167,4
58,4,14,core,0.870254,0.741579,0.8223,0.965874,0.873516,0.745414,1.0,0.0,0.8551,0.8426,0.063694,0.06075,0.541389,0.543125,11
59,1,27,core,0.757164,0.710851,0.651881,0.941242,0.740857,0.681687,0.7,0.0,0.8611,0.8685,0.085569,0.077042,0.653403,0.656431,5
59,4,14,core,0.861637,0.800561,0.814212,0.931617,0.839953,0.742094,1.0,0.0,0.8633,0.8293,0.064264,0.060458,0.543958,0.5475,12
60,1,27,core,0.80138,0.741894,0.78563,0.947274,0.71261,0.686953,0.8,0.0,0.8535,0.8683,0.084208,0.074792,0.650972,0.653681,6
60,4,14,core,0.846942,0.782745,0.785381,0.896083,0.860993,0.73932,1.0,0.0,0.8637,0.8441,0.065042,0.061722,0.546514,0.552,13
61,1,27,core,0.812451,0.777039,0.808055,0.955467,0.652183,0.69157,0.9,0.0,0.8614,0.8605,0.084764,0.072986,0.649208,0.651486,7
61,4,14,core,0.826927,0.77457,0.72019,0.867669,0.884778,0.736414,1.0,0.0,0.8615,0.848,0.065236,0.0625,0.549167,0.556264,14
62,1,27,core,0.807278,0.73126,0.792643,0.969637,0.610905,0.696766,1.0,0.0,0.87,0.8667,0.084861,0.071417,0.647542,0.649083,8
62,4,14,core,0.830142,0.807354,0.799506,0.833648,0.820345,0.733625,1.0,0.0,0.8682,0.8552,0.065542,0.061153,0.551056,0.560153,15
63,1,27,core,0.816493,0.787636,0.810197,0.962125,0.60116,0.700711,1.0,0.0,0.8721,0.8788,0.084958,0.071097,0.645917,0.647847,9
63,28,8,core,0.77748,0.696317,0.767375,0.765928,0.977629,0.883609,0.5,0.0,0.8581,0.8642,0.071625,0.072194,0.597208,0.610542,3
63,4,14,expand,0.827322,0.773692,0.81958,0.797186,0.856489,0.730766,1.0,0.85027,0.8754,0.8606,0.065792,0.062319,0.553264,0.564597,16
64,1,27,core,0.812756,0.748423,0.808802,0.940719,0.639214,0.705383,1.0,0.0,0.8616,0.8739,0.084111,0.071917,0.643431,0.646486,10
64,4,14,core,0.796639,0.792676,0.722632,0.777936,0.830988,0.727969,1.0,0.0,0.8772,0.8477,0.067514,0.063278,0.556347,0.568903,17
64,28,8,core,0.750328,0.775256,0.788806,0.631634,0.873769,0.883516,0.6,0.0,0.8502,0.862,0.070361,0.073764,0.593125,0.616097,4
65,1,27,core,0.816489,0.806135,0.813163,0.934987,0.615361,0.70918,1.0,0.0,0.8567,0.869,0.084958,0.071681,0.642222,0.645583,11
65,4,14,core,0.813655,0.803541,0.801858,0.742466,0.854064,0.724609,1.0,0.0,0.8689,0.8526,0.068778,0.065083,0.558778,0.573667,18
66,1,27,core,0.821524,0.767763,0.88166,0.941503,0.574417,0.713703,1.0,0.0,0.856,0.8624,0.085597,0.0705,0.640847,0.643861,12
67,1,27,core,0.795426,0.765018,0.793207,0.92286,0.578764,0.71807,1.0,0.0,0.8674,0.8654,0.084514,0.069792,0.638361,0.642375,13
68,1,27,core,0.7823,0.807602,0.743111,0.898576,0.573052,0.722562,1.0,0.0,0.8702,0.8515,0.083069,0.068361,0.635417,0.640764,14
69,1,27,core,0.810748,0.739934,0.910781,0.880293,0.578003,0.727766,1.0,0.0,0.8624,0.8457,0.0825,0.068097,0.633042,0.639417,15
70,1,27,core,0.814573,0.791071,0.884482,0.870083,0.603127,0.732914,1.0,0.0,0.86,0.8637,0.08075,0.067653,0.629861,0.636819,16
71,1,27,core,0.827143,0.802851,0.931588,0.860469,0.609369,0.736547,1.0,0.0,0.861,0.8701,0.079667,0.066986,0.627583,0.635097,17
73,28,26,core,0.781602,0.705818,0.909184,0.945697,0.575328,0.938875,0.5,0.0,0.8567,0.8159,0.065056,0.053611,0.560903,0.563694,3
74,28,26,core,0.765611,0.739187,0.836095,0.921067,0.542751,0.937836,0.6,0.0,0.8548,0.8065,0.063472,0.05125,0.557528,0.561639,4
75,28,26,core,0.7802,0.757203,0.854831,0.882742,0.576859,0.937086,0.7,0.0,0.8467,0.8083,0.061931,0.051083,0.554389,0.560625,5
76,28,26,core,0.789268,0.706599,0.906281,0.858797,0.57591,0.936523,0.8,0.0,0.845,0.8162,0.060972,0.050264,0.551514,0.559125,6
77,28,26,core,0.759227,0.755702,0.738017,0.844603,0.567087,0.935992,0.9,0.0,0.8452,0.8035,0.060625,0.049708,0.549028,0.557472,7
78,28,26,core,0.744802,0.692694,0.692882,0.836431,0.558977,0.935484,1.0,0.0,0.8511,0.7951,0.060097,0.049028,0.546681,0.555611,8
79,28,26,core,0.749865,0.741731,0.68233,0.828569,0.570532,0.935484,1.0,0.0,0.8544,0.7984,0.059347,0.048764,0.54425,0.553653,9
80,28,26,core,0.755668,0.76713,0.684643,0.833879,0.571171,0.934672,1.0,0.0,0.8559,0.7867,0.057972,0.047653,0.541361,0.550444,10
81,28,26,core,0.768467,0.805243,0.708776,0.834343,0.576006,0.933992,1.0,0.0,0.8522,0.8038,0.057667,0.047542,0.539389,0.548444,11
82,28,26,core,0.784825,0.816087,0.697838,0.842494,0.653426,0.932867,1.0,0.0,0.8499,0.7963,0.056208,0.048431,0.537139,0.545708,12
86,1,27,core,0.720854,0.75565,0.896912,0.834111,0.425139,0.794469,0.5,0.0,0.8817,0.8241,0.071722,0.053167,0.602667,0.593597,3
