frame_id,track_id,pred_x1,pred_y1,pred_x2,pred_y2,pred_cx,pred_cy_bottom,vx,vy,vw,vh
1,1,895.26,503.13,1049.33,592.52,972.29,592.52,0.0,0.0,0.0,0.0
1,2,414.63,352.36,479.72,400.46,447.18,400.46,0.0,0.0,0.0,0.0
1,3,194.34,395.63,305.53,462.79,249.94,462.79,0.0,0.0,0.0,0.0
1,4,501.4,310.25,541.5,341.2,521.45,341.2,0.0,0.0,0.0,0.0
1,5,691.21,353.79,744.56,396.27,717.88,396.27,0.0,0.0,0.0,0.0
1,6,179.92,363.59,272.47,418.39,226.19,418.39,0.0,0.0,0.0,0.0
1,7,200.31,315.64,256.49,350.98,228.4,350.98,0.0,0.0,0.0,0.0
1,8,37.88,347.11,144.02,398.62,90.95,398.62,0.0,0.0,0.0,0.0
1,9,648.22,310.53,678.29,335.32,663.26,335.32,0.0,0.0,0.0,0.0
1,10,591.51,324.18,626.64,354.4,609.08,354.4,0.0,0.0,0.0,0.0
1,11,459.52,299.1,497.89,326.47,478.71,326.47,0.0,0.0,0.0,0.0
1,12,0.0,599.15,103.59,719.61,51.79,719.61,0.0,0.0,0.0,0.0
1,13,606.37,284.95,633.02,305.58,619.7,305.58,0.0,0.0,0.0,0.0
1,14,656.82,275.14,675.66,290.52,666.24,290.52,0.0,0.0,0.0,0.0
1,15,453.59,267.91,496.4,290.98,475.0,290.98,0.0,0.0,0.0,0.0
1,16,585.55,250.86,607.66,269.39,596.61,269.39,0.0,0.0,0.0,0.0
1,17,653.8,252.57,668.99,264.47,661.39,264.47,0.0,0.0,0.0,0.0
1,18,633.44,253.62,646.7,263.35,640.07,263.35,0.0,0.0,0.0,0.0
1,19,645.79,239.5,658.1,247.38,651.94,247.38,0.0,0.0,0.0,0.0
1,20,655.63,249.65,670.07,260.94,662.85,260.94,0.0,0.0,0.0,0.0
2,1,895.26,503.13,1049.33,592.52,972.29,592.52,0.0,0.0,0.0,0.0
2,2,414.63,352.36,479.72,400.46,447.18,400.46,0.0,0.0,0.0,0.0
2,3,194.34,395.63,305.53,462.79,249.94,462.79,0.0,0.0,0.0,0.0
2,4,501.4,310.25,541.5,341.2,521.45,341.2,0.0,0.0,0.0,0.0
2,5,691.21,353.79,744.56,396.27,717.88,396.27,0.0,0.0,0.0,0.0
