frame_id,track_id,pred_x1,pred_y1,pred_x2,pred_y2,pred_cx,pred_cy_bottom,vx,vy,vw,vh
1,1,480.08,374.7,534.5,425.95,507.29,425.95,0.0,0.0,0.0,0.0
1,2,271.05,393.04,343.2,453.83,307.13,453.83,0.0,0.0,0.0,0.0
1,3,78.39,378.12,165.26,434.6,121.82,434.6,0.0,0.0,0.0,0.0
1,4,1081.54,502.81,1270.52,582.81,1176.03,582.81,0.0,0.0,0.0,0.0
1,5,346.58,426.11,429.18,499.28,387.88,499.28,0.0,0.0,0.0,0.0
1,6,712.42,371.36,779.27,408.58,745.85,408.58,0.0,0.0,0.0,0.0
1,7,179.24,339.61,229.04,377.12,204.14,377.12,0.0,0.0,0.0,0.0
1,8,475.39,329.5,510.85,359.15,493.12,359.15,0.0,0.0,0.0,0.0
1,9,571.39,339.61,612.22,370.2,591.8,370.2,0.0,0.0,0.0,0.0
1,10,600.89,324.79,634.74,348.45,617.81,348.45,0.0,0.0,0.0,0.0
1,11,522.88,298.44,547.3,318.59,535.09,318.59,0.0,0.0,0.0,0.0
1,12,1200.33,478.52,1279.73,548.66,1240.03,548.66,0.0,0.0,0.0,0.0
1,13,988.18,360.79,1086.01,396.83,1037.1,396.83,0.0,0.0,0.0,0.0
1,14,412.03,316.76,442.76,344.44,427.39,344.44,0.0,0.0,0.0,0.0
1,15,549.26,288.77,566.75,302.25,558.0,302.25,0.0,0.0,0.0,0.0
1,16,519.06,653.99,658.53,720.0,588.8,720.0,0.0,0.0,0.0,0.0
1,17,246.07,311.35,282.72,333.35,264.39,333.35,0.0,0.0,0.0,0.0
1,18,531.11,277.17,546.23,289.51,538.67,289.51,0.0,0.0,0.0,0.0
1,19,457.26,269.03,470.93,281.58,464.1,281.58,0.0,0.0,0.0,0.0
1,20,351.41,281.91,384.49,306.41,367.95,306.41,0.0,0.0,0.0,0.0
1,21,958.03,356.19,1029.62,384.14,993.82,384.14,0.0,0.0,0.0,0.0
1,22,510.87,263.6,524.21,274.86,517.54,274.86,0.0,0.0,0.0,0.0
1,23,269.75,294.64,296.72,315.14,283.23,315.14,0.0,0.0,0.0,0.0
2,1,480.08,374.7,534.5,425.95,507.29,425.95,0.0,0.0,0.0,0.0
2,2,271.05,393.04,343.2,453.83,307.13,453.83,0.0,0.0,0.0,0.0
2,3,78.39,378.12,165.26,434.6,121.82,434.6,0.0,0.0,0.0,0.0
2,4,1081.54,502.81,1270.52,582.81,1176.03,582.81,0.0,0.0,0.0,0.0
2,5,346.58,426.11,429.18,499.28,387.88,499.28,0.0,0.0,0.0,0.0
2,6,712.42,371.36,779.27,408.58,745.85,408.58,0.0,0.0,0.0,0.0
2,7,179.24,339.61,229.04,377.12,204.14,377.12,0.0,0.0,0.0,0.0
2,8,475.39,329.5,510.85,359.15,493.12,359.15,0.0,0.0,0.0,0.0
2,9,571.39,339.61,612.22,370.2,591.8,370.2,0.0,0.0,0.0,0.0
2,10,600.89,324.79,634.74,348.45,617.81,348.45,0.0,0.0,0.0,0.0
2,11,522.88,298.44,547.3,318.59,535.09,318.59,0.0,0.0,0.0,0.0
2,12,1200.33,478.52,1279.73,548.66,1240.03,548.66,0.0,0.0,0.0,0.0
2,13,988.18,360.79,1086.01,396.83,1037.1,396.83,0.0,0.0,0.0,0.0
2,14,412.03,316.76,442.76,344.44,427.39,344.44,0.0,0.0,0.0,0.0
2,15,549.26,288.77,566.75,302.25,558.0,302.25,0.0,0.0,0.0,0.0
2,16,519.06,653.99,658.53,720.0,588.8,720.0,0.0,0.0,0.0,0.0
2,17,246.07,311.35,282.72,333.35,264.39,333.35,0.0,0.0,0.0,0.0
2,18,531.11,277.17,546.23,289.51,538.67,289.51,0.0,0.0,0.0,0.0
2,19,457.26,269.03,470.93,281.58,464.1,281.58,0.0,0.0,0.0,0.0
2,20,351.41,281.91,384.49,306.41,367.95,306.41,0.0,0.0,0.0,0.0
2,21,958.03,356.19,1029.62,384.14,993.82,384.14,0.0,0.0,0.0,0.0
2,22,510.87,263.6,524.21,274.86,517.54,274.86,0.0,0.0,0.0,0.0
2,23,269.75,294.64,296.72,315.14,283.23,315.14,0.0,0.0,0.0,0.0
3,1,480.08,374.7,534.5,425.95,507.29,425.95,0.0,0.0,0.0,0.0
3,2,271.05,393.04,343.2,453.83,307.13,453.83,0.0,0.0,0.0,0.0
3,3,78.39,378.12,165.26,434.6,121.82,434.6,0.0,0.0,0.0,0.0
3,4,1081.54,502.81,1270.52,582.81,1176.03,582.81,0.0,0.0,0.0,0.0
3,5,346.58,426.11,429.18,499.28,387.88,499.28,0.0,0.0,0.0,0.0
3,6,712.42,371.36,779.27,408.58,745.85,408.58,0.0,0.0,0.0,0.0
3,7,179.24,339.61,229.04,377.12,204.14,377.12,0.0,0.0,0.0,0.0
3,8,475.39,329.5,510.85,359.15,493.12,359.15,0.0,0.0,0.0,0.0
3,9,571.39,339.61,612.22,370.2,591.8,370.2,0.0,0.0,0.0,0.0
3,10,600.89,324.79,634.74,348.45,617.81,348.45,0.0,0.0,0.0,0.0
3,11,522.88,298.44,547.3,318.59,535.09,318.59,0.0,0.0,0.0,0.0
3,12,1200.33,478.52,1279.73,548.66,1240.03,548.66,0.0,0.0,0.0,0.0
3,13,988.18,360.79,1086.01,396.83,1037.1,396.83,0.0,0.0,0.0,0.0
3,14,412.03,316.76,442.76,344.44,427.39,344.44,0.0,0.0,0.0,0.0
3,15,549.26,288.77,566.75,302.25,558.0,302.25,0.0,0.0,0.0,0.0
3,16,519.06,653.99,658.53,720.0,588.8,720.0,0.0,0.0,0.0,0.0
3,17,246.07,311.35,282.72,333.35,264.39,333.35,0.0,0.0,0.0,0.0
3,18,531.11,277.17,546.23,289.51,538.67,289.51,0.0,0.0,0.0,0.0
3,19,457.26,269.03,470.93,281.58,464.1,281.58,0.0,0.0,0.0,0.0
3,20,351.41,281.91,384.49,306.41,367.95,306.41,0.0,0.0,0.0,0.0
3,21,958.03,356.19,1029.62,384.14,993.82,384.14,0.0,0.0,0.0,0.0
3,22,510.87,263.6,524.21,274.86,517.54,274.86,0.0,0.0,0.0,0.0
3,23,269.75,294.64,296.72,315.14,283.23,315.14,0.0,0.0,0.0,0.0
4,1,480.08,374.7,534.5,425.95,507.29,425.95,0.0,0.0,0.0,0.0
4,2,271.05,393.04,343.2,453.83,307.13,453.83,0.0,0.0,0.0,0.0
4,3,78.39,378.12,165.26,434.6,121.82,434.6,0.0,0.0,0.0,0.0
4,4,1081.54,502.81,1270.52,582.81,1176.03,582.81,0.0,0.0,0.0,0.0
