frame_id,track_id,pred_x1,pred_y1,pred_x2,pred_y2,pred_cx,pred_cy_bottom,vx,vy,vw,vh
1,1,861.09,734.59,971.33,780.25,916.21,780.25,0.0,0.0,0.0,0.0
1,2,1469.99,422.17,1599.88,473.67,1534.93,473.67,0.0,0.0,0.0,0.0
1,3,702.63,455.53,812.13,500.93,757.38,500.93,0.0,0.0,0.0,0.0
1,4,992.24,832.98,1104.91,885.63,1048.58,885.63,0.0,0.0,0.0,0.0
1,5,954.55,647.54,1062.7,695.66,1008.62,695.66,0.0,0.0,0.0,0.0
1,6,356.64,973.0,408.22,1075.63,382.43,1075.63,0.0,0.0,0.0,0.0
1,7,188.9,749.2,304.43,797.46,246.67,797.46,0.0,0.0,0.0,0.0
1,8,216.47,659.92,332.3,702.83,274.39,702.83,0.0,0.0,0.0,0.0
1,9,61.67,477.84,171.63,525.77,116.65,525.77,0.0,0.0,0.0,0.0
1,10,492.22,383.63,598.35,429.82,545.28,429.82,0.0,0.0,0.0,0.0
1,11,557.68,737.81,670.61,782.78,614.15,782.78,0.0,0.0,0.0,0.0
1,12,1382.48,629.45,1496.55,675.58,1439.52,675.58,0.0,0.0,0.0,0.0
1,13,0.17,380.91,81.99,445.0,41.08,445.0,0.0,0.0,0.0,0.0
1,14,1191.03,839.52,1302.58,884.25,1246.8,884.25,0.0,0.0,0.0,0.0
1,15,6.47,751.31,130.67,797.98,68.57,797.98,0.0,0.0,0.0,0.0
1,16,681.09,653.93,790.54,693.23,735.81,693.23,0.0,0.0,0.0,0.0
1,17,589.94,959.0,692.3,1005.37,641.12,1005.37,0.0,0.0,0.0,0.0
1,18,28.31,929.06,77.42,1045.12,52.87,1045.12,0.0,0.0,0.0,0.0
2,1,861.09,734.59,971.33,780.25,916.21,780.25,0.0,0.0,0.0,0.0
2,2,1469.99,422.17,1599.88,473.67,1534.93,473.67,0.0,0.0,0.0,0.0
2,3,702.63,455.53,812.13,500.93,757.38,500.93,0.0,0.0,0.0,0.0
2,4,992.24,832.98,1104.91,885.63,1048.58,885.63,0.0,0.0,0.0,0.0
2,5,954.55,647.54,1062.7,695.66,1008.62,695.66,0.0,0.0,0.0,0.0
2,6,356.64,973.0,408.22,1075.63,382.43,1075.63,0.0,0.0,0.0,0.0
2,7,188.9,749.2,304.43,797.46,246.67,797.46,0.0,0.0,0.0,0.0
2,8,216.47,659.92,332.3,702.83,274.39,702.83,0.0,0.0,0.0,0.0
2,9,61.67,477.84,171.63,525.77,116.65,525.77,0.0,0.0,0.0,0.0
2,10,492.22,383.63,598.35,429.82,545.28,429.82,0.0,0.0,0.0,0.0
2,11,557.68,737.81,670.61,782.78,614.15,782.78,0.0,0.0,0.0,0.0
2,12,1382.48,629.45,1496.55,675.58,1439.52,675.58,0.0,0.0,0.0,0.0
2,13,0.17,380.91,81.99,445.0,41.08,445.0,0.0,0.0,0.0,0.0
2,14,1191.03,839.52,1302.58,884.25,1246.8,884.25,0.0,0.0,0.0,0.0
2,15,6.47,751.31,130.67,797.98,68.57,797.98,0.0,0.0,0.0,0.0
2,16,681.09,653.93,790.54,693.23,735.81,693.23,0.0,0.0,0.0,0.0
2,17,589.94,959.0,692.3,1005.37,641.12,1005.37,0.0,0.0,0.0,0.0
2,18,28.31,929.06,77.42,1045.12,52.87,1045.12,0.0,0.0,0.0,0.0
3,1,861.09,734.59,971.33,780.25,916.21,780.25,0.0,0.0,0.0,0.0
3,2,1469.99,422.17,1599.88,473.67,1534.93,473.67,0.0,0.0,0.0,0.0
3,3,702.63,455.53,812.13,500.93,757.38,500.93,0.0,0.0,0.0,0.0
3,4,992.24,832.98,1104.91,885.63,1048.58,885.63,0.0,0.0,0.0,0.0
3,5,954.55,647.54,1062.7,695.66,1008.62,695.66,0.0,0.0,0.0,0.0
3,6,356.64,973.0,408.22,1075.63,382.43,1075.63,0.0,0.0,0.0,0.0
3,7,188.9,749.2,304.43,797.46,246.67,797.46,0.0,0.0,0.0,0.0
3,8,216.47,659.92,332.3,702.83,274.39,702.83,0.0,0.0,0.0,0.0
3,9,61.67,477.84,171.63,525.77,116.65,525.77,0.0,0.0,0.0,0.0
3,10,492.22,383.63,598.35,429.82,545.28,429.82,0.0,0.0,0.0,0.0
3,11,557.68,737.81,670.61,782.78,614.15,782.78,0.0,0.0,0.0,0.0
3,12,1382.48,629.45,1496.55,675.58,1439.52,675.58,0.0,0.0,0.0,0.0
3,13,0.17,380.91,81.99,445.0,41.08,445.0,0.0,0.0,0.0,0.0
3,14,1191.03,839.52,1302.58,884.25,1246.8,884.25,0.0,0.0,0.0,0.0
3,15,6.47,751.31,130.67,797.98,68.57,797.98,0.0,0.0,0.0,0.0
3,16,681.09,653.93,790.54,693.23,735.81,693.23,0.0,0.0,0.0,0.0
3,17,589.94,959.0,692.3,1005.37,641.12,1005.37,0.0,0.0,0.0,0.0
3,18,28.31,929.06,77.42,1045.12,52.87,1045.12,0.0,0.0,0.0,0.0
4,1,861.09,734.59,971.33,780.25,916.21,780.25,0.0,0.0,0.0,0.0
4,2,1469.99,422.17,1599.88,473.67,1534.93,473.67,0.0,0.0,0.0,0.0
4,3,702.63,455.53,812.13,500.93,757.38,500.93,0.0,0.0,0.0,0.0
4,4,992.24,832.98,1104.91,885.63,1048.58,885.63,0.0,0.0,0.0,0.0
4,5,954.55,647.54,1062.7,695.66,1008.62,695.66,0.0,0.0,0.0,0.0
4,6,356.64,973.0,408.22,1075.63,382.43,1075.63,0.0,0.0,0.0,0.0
4,7,188.9,749.2,304.43,797.46,246.67,797.46,0.0,0.0,0.0,0.0
4,8,216.47,659.92,332.3,702.83,274.39,702.83,0.0,0.0,0.0,0.0
4,9,61.67,477.84,171.63,525.77,116.65,525.77,0.0,0.0,0.0,0.0
4,10,492.22,383.63,598.35,429.82,545.28,429.82,0.0,0.0,0.0,0.0
4,11,557.68,737.81,670.61,782.78,614.15,782.78,0.0,0.0,0.0,0.0
4,12,1382.48,629.45,1496.55,675.58,1439.52,675.58,0.0,0.0,0.0,0.0
4,13,0.17,380.91,81.99,445.0,41.08,445.0,0.0,0.0,0.0,0.0
4,14,1191.03,839.52,1302.58,884.25,1246.8,884.25,0.0,0.0,0.0,0.0
4,15,6.47,751.31,130.67,797.98,68.57,797.98,0.0,0.0,0.0,0.0
4,16,681.09,653.93,790.54,693.23,735.81,693.23,0.0,0.0,0.0,0.0
4,17,589.94,959.0,692.3,1005.37,641.12,1005.37,0.0,0.0,0.0,0.0
4,18,28.31,929.06,77.42,1045.12,52.87,1045.12,0.0,0.0,0.0,0.0
5,1,861.09,734.59,971.33,780.25,916.21,780.25,0.0,0.0,0.0,0.0
5,2,1469.99,422.17,1599.88,473.67,1534.93,473.67,0.0,0.0,0.0,0.0
5,3,702.63,455.53,812.13,500.93,757.38,500.93,0.0,0.0,0.0,0.0
5,4,992.24,832.98,1104.91,885.63,1048.58,885.63,0.0,0.0,0.0,0.0
5,5,954.55,647.54,1062.7,695.66,1008.62,695.66,0.0,0.0,0.0,0.0
5,6,356.64,973.0,408.22,1075.63,382.43,1075.63,0.0,0.0,0.0,0.0
5,7,188.9,749.2,304.43,797.46,246.67,797.46,0.0,0.0,0.0,0.0
5,8,216.47,659.92,332.3,702.83,274.39,702.83,0.0,0.0,0.0,0.0
5,9,61.67,477.84,171.63,525.77,116.65,525.77,0.0,0.0,0.0,0.0
5,10,492.22,383.63,598.35,429.82,545.28,429.82,0.0,0.0,0.0,0.0
5,11,557.68,737.81,670.61,782.78,614.15,782.78,0.0,0.0,0.0,0.0
5,12,1382.48,629.45,1496.55,675.58,1439.52,675.58,0.0,0.0,0.0,0.0
5,14,1191.03,839.52,1302.58,884.25,1246.8,884.25,0.0,0.0,0.0,0.0
5,15,6.47,751.31,130.67,797.98,68.57,797.98,0.0,0.0,0.0,0.0
5,16,681.09,653.93,790.54,693.23,735.81,693.23,0.0,0.0,0.0,0.0
5,17,589.94,959.0,692.3,1005.37,641.12,1005.37,0.0,0.0,0.0,0.0
5,18,28.31,929.06,77.42,1045.12,52.87,1045.12,0.0,0.0,0.0,0.0
6,1,861.09,734.59,971.33,780.25,916.21,780.25,0.0,0.0,0.0,0.0
6,2,1469.99,422.17,1599.88,473.67,1534.93,473.67,0.0,0.0,0.0,0.0
6,3,702.63,455.53,812.13,500.93,757.38,500.93,0.0,0.0,0.0,0.0
6,4,992.24,832.98,1104.91,885.63,1048.58,885.63,0.0,0.0,0.0,0.0
6,5,954.55,647.54,1062.7,695.66,1008.62,695.66,0.0,0.0,0.0,0.0
6,6,356.64,973.0,408.22,1075.63,382.43,1075.63,0.0,0.0,0.0,0.0
6,7,188.9,749.2,304.43,797.46,246.67,797.46,0.0,0.0,0.0,0.0
6,8,216.47,659.92,332.3,702.83,274.39,702.83,0.0,0.0,0.0,0.0
6,9,61.67,477.84,171.63,525.77,116.65,525.77,0.0,0.0,0.0,0.0
6,10,492.22,383.63,598.35,429.82,545.28,429.82,0.0,0.0,0.0,0.0
6,11,557.68,737.81,670.61,782.78,614.15,782.78,0.0,0.0,0.0,0.0
6,12,1382.48,629.45,1496.55,675.58,1439.52,675.58,0.0,0.0,0.0,0.0
6,14,1191.03,839.52,1302.58,884.25,1246.8,884.25,0.0,0.0,0.0,0.0
6,15,6.47,751.31,130.67,797.98,68.57,797.98,0.0,0.0,0.0,0.0
6,16,681.09,653.93,790.54,693.23,735.81,693.23,0.0,0.0,0.0,0.0
6,17,589.94,959.0,692.3,1005.37,641.12,1005.37,0.0,0.0,0.0,0.0
6,18,28.31,929.06,77.42,1045.12,52.87,1045.12,0.0,0.0,0.0,0.0
6,19,1884.0,321.49,1920.0,403.03,1902.0,403.03,0.0,0.0,0.0,0.0
7,1,861.09,734.59,971.33,780.25,916.21,780.25,0.0,0.0,0.0,0.0
7,2,1469.99,422.17,1599.88,473.67,1534.93,473.67,0.0,0.0,0.0,0.0
7,3,702.63,455.53,812.13,500.93,757.38,500.93,0.0,0.0,0.0,0.0
7,4,992.24,832.98,1104.91,885.63,1048.58,885.63,0.0,0.0,0.0,0.0
7,5,954.55,647.54,1062.7,695.66,1008.62,695.66,0.0,0.0,0.0,0.0
7,6,356.64,973.0,408.22,1075.63,382.43,1075.63,0.0,0.0,0.0,0.0
7,7,188.9,749.2,304.43,797.46,246.67,797.46,0.0,0.0,0.0,0.0
7,8,216.47,659.92,332.3,702.83,274.39,702.83,0.0,0.0,0.0,0.0
7,9,61.67,477.84,171.63,525.77,116.65,525.77,0.0,0.0,0.0,0.0
7,10,492.22,383.63,598.35,429.82,545.28,429.82,0.0,0.0,0.0,0.0
7,11,557.68,737.81,670.61,782.78,614.15,782.78,0.0,0.0,0.0,0.0
7,12,1382.48,629.45,1496.55,675.58,1439.52,675.58,0.0,0.0,0.0,0.0
7,14,1191.03,839.52,1302.58,884.25,1246.8,884.25,0.0,0.0,0.0,0.0
7,15,6.47,751.31,130.67,797.98,68.57,797.98,0.0,0.0,0.0,0.0
7,16,681.09,653.93,790.54,693.23,735.81,693.23,0.0,0.0,0.0,0.0
7,17,589.94,959.0,692.3,1005.37,641.12,1005.37,0.0,0.0,0.0,0.0
7,18,28.31,929.06,77.42,1045.12,52.87,1045.12,0.0,0.0,0.0,0.0
7,19,1884.0,321.49,1920.0,403.03,1902.0,403.03,0.0,0.0,0.0,0.0
8,1,861.09,734.59,971.33,780.25,916.21,780.25,0.0,0.0,0.0,0.0
8,2,1469.99,422.17,1599.88,473.67,1534.93,473.67,0.0,0.0,0.0,0.0
8,3,702.63,455.53,812.13,500.93,757.38,500.93,0.0,0.0,0.0,0.0
8,4,992.24,832.98,1104.91,885.63,1048.58,885.63,0.0,0.0,0.0,0.0
8,5,954.55,647.54,1062.7,695.66,1008.62,695.66,0.0,0.0,0.0,0.0
8,6,356.64,973.0,408.22,1075.63,382.43,1075.63,0.0,0.0,0.0,0.0
8,7,188.9,749.2,304.43,797.46,246.67,797.46,0.0,0.0,0.0,0.0
8,8,216.47,659.92,332.3,702.83,274.39,702.83,0.0,0.0,0.0,0.0
8,9,61.67,477.84,171.63,525.77,116.65,525.77,0.0,0.0,0.0,0.0
8,10,492.22,383.63,598.35,429.82,545.28,429.82,0.0,0.0,0.0,0.0
8,11,557.68,737.81,670.61,782.78,614.15,782.78,0.0,0.0,0.0,0.0
8,12,1382.48,629.45,1496.55,675.58,1439.52,675.58,0.0,0.0,0.0,0.0
8,14,1191.03,839.52,1302.58,884.25,1246.8,884.25,0.0,0.0,0.0,0.0
8,15,6.47,751.31,130.67,797.98,68.57,797.98,0.0,0.0,0.0,0.0
8,16,681.09,653.93,790.54,693.23,735.81,693.23,0.0,0.0,0.0,0.0
8,17,589.94,959.0,692.3,1005.37,641.12,1005.37,0.0,0.0,0.0,0.0
8,19,1884.0,321.49,1920.0,403.03,1902.0,403.03,0.0,0.0,0.0,0.0
9,1,861.09,734.59,971.33,780.25,916.21,780.25,0.0,0.0,0.0,0.0
9,2,1469.99,422.17,1599.88,473.67,1534.93,473.67,0.0,0.0,0.0,0.0
9,3,702.63,455.53,812.13,500.93,757.38,500.93,0.0,0.0,0.0,0.0
9,4,992.24,832.98,1104.91,885.63,1048.58,885.63,0.0,0.0,0.0,0.0
9,5,954.55,647.54,1062.7,695.66,1008.62,695.66,0.0,0.0,0.0,0.0
9,6,356.64,973.0,408.22,1075.63,382.43,1075.63,0.0,0.0,0.0,0.0
9,7,188.9,749.2,304.43,797.46,246.67,797.46,0.0,0.0,0.0,0.0
9,8,216.47,659.92,332.3,702.83,274.39,702.83,0.0,0.0,0.0,0.0
9,10,492.22,383.63,598.35,429.82,545.28,429.82,0.0,0.0,0.0,0.0
9,11,557.68,737.81,670.61,782.78,614.15,782.78,0.0,0.0,0.0,0.0
9,12,1382.48,629.45,1496.55,675.58,1439.52,675.58,0.0,0.0,0.0,0.0
9,14,1191.03,839.52,1302.58,884.25,1246.8,884.25,0.0,0.0,0.0,0.0
9,16,681.09,653.93,790.54,693.23,735.81,693.23,0.0,0.0,0.0,0.0
9,17,589.94,959.0,692.3,1005.37,641.12,1005.37,0.0,0.0,0.0,0.0
9,19,1884.0,321.49,1920.0,403.03,1902.0,403.03,0.0,0.0,0.0,0.0
10,1,861.09,734.59,971.33,780.25,916.21,780.25,0.0,0.0,0.0,0.0
10,2,1469.99,422.17,1599.88,473.67,1534.93,473.67,0.0,0.0,0.0,0.0
10,3,702.63,455.53,812.13,500.93,757.38,500.93,0.0,0.0,0.0,0.0
10,4,992.24,832.98,1104.91,885.63,1048.58,885.63,0.0,0.0,0.0,0.0
10,5,954.55,647.54,1062.7,695.66,1008.62,695.66,0.0,0.0,0.0,0.0
10,6,356.64,973.0,408.22,1075.63,382.43,1075.63,0.0,0.0,0.0,0.0
10,7,188.9,749.2,304.43,797.46,246.67,797.46,0.0,0.0,0.0,0.0
10,8,216.47,659.92,332.3,702.83,274.39,702.83,0.0,0.0,0.0,0.0
10,10,492.22,383.63,598.35,429.82,545.28,429.82,0.0,0.0,0.0,0.0
10,11,557.68,737.81,670.61,782.78,614.15,782.78,0.0,0.0,0.0,0.0
10,12,1382.48,629.45,1496.55,675.58,1439.52,675.58,0.0,0.0,0.0,0.0
10,14,1191.03,839.52,1302.58,884.25,1246.8,884.25,0.0,0.0,0.0,0.0
10,16,681.09,653.93,790.54,693.23,735.81,693.23,0.0,0.0,0.0,0.0
10,17,589.94,959.0,692.3,1005.37,641.12,1005.37,0.0,0.0,0.0,0.0
