frame_id,track_id_a,track_id_b,score_total,score_reid,score_refine,rank_a,rank_b,y_norm_a,y_norm_b,h_norm_a,h_norm_b,area_norm_a,area_norm_b,s_rank,s_y,s_pos,s_area,s_h,s_dist,speed_sign_a,speed_sign_b,speed_proj_a,speed_proj_b,speed_dx_a,speed_dy_a,speed_dx_b,speed_dy_b
1,8,3,0.8216383126777532,0.9335523843765259,0.8216383126777532,1.0,1.0,0.552871012482663,0.6027739251040222,51.50999999999999,56.48000000000002,5467.2714,4906.417600000001,1.0,0.7412498909933003,0.8706249454966501,0.8229794245727126,0.7870310033622555,0.7796699846677283,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,7,0.8024575919166981,0.872506320476532,0.8024575919166981,0.8888888888888888,0.9090909090909091,0.4867961165048544,0.5230513176144245,35.34000000000003,37.50999999999999,1985.401200000002,1867.997999999999,0.9039239022952824,0.8045024986942185,0.8542132004947505,0.8960879316700273,0.8564670326579921,0.6118879155117264,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1,0.7129148164701082,0.6695425361394882,0.7129148164701082,0.4444444444444444,0.6363636363636364,0.5554230235783634,0.5907766990291262,48.099999999999966,51.25,3130.8289999999993,2789.025000000001,0.3830476214290482,0.8088659672625274,0.5959567943457877,0.812133652264336,0.8479556480738828,0.689248313525755,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,9,0.6716778368113826,0.961698979139328,0.6716778368113826,0.3333333333333333,0.5454545454545454,0.47323162274618585,0.5134535367545077,30.94999999999999,30.589999999999975,1241.0950000000003,1248.9897000000003,0.34624590072707134,0.7855811755934531,0.5659135381602622,0.9886512147779343,0.9700384331007653,0.3274806755182036,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,0.631928710065349,0.9105862677097321,0.631928710065349,0.0,0.18181818181818182,0.8218030513176144,0.8083356449375866,89.38999999999999,79.99999999999994,13772.317299999992,15118.39999999999,0.40289032152913296,0.9223740548644415,0.6626321881967872,0.8454776639104096,0.7493465795126897,0.3241703820474149,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,10,21,0.5680960172818726,0.8886153995990753,0.5680960172818726,0.2222222222222222,0.2727272727272727,0.4915395284327323,0.5327877947295423,30.21999999999997,27.94999999999999,1061.6285999999989,2000.940499999997,0.7768365955058757,0.7807583423880573,0.7787974689469666,0.31954290807850044,0.816257370410349,0.273427389810658,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,5,0.5561805568372225,0.979404628276825,0.5561805568372225,0.5555555555555556,0.7272727272727273,0.641872399445215,0.6924826629680998,67.16000000000003,73.16999999999996,7467.5204,6043.841999999999,0.4237609166616761,0.7381106147432228,0.5809357657024494,0.6833544586466959,0.8002429270592525,0.2245342468007017,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,3,0.8122853560357006,0.9341625869274139,0.8122853560357006,1.0,1.0,0.55375866851595,0.6031900138696255,50.860000000000014,57.75999999999999,5551.3690000000015,5031.4736,1.0,0.743350155955385,0.8716750779776925,0.8377823070530711,0.7183694342091554,0.7838749219642517,0,0,0.6399999999999864,0.2999999999999545,-1.6300000000000097,0.6399999999999864,0.0800000000000125,0.2999999999999545
2,7,7,0.804529990844778,0.874968409538269,0.804529990844778,0.8888888888888888,0.9090909090909091,0.4870457697642164,0.523370319001387,35.48000000000002,37.400000000000034,1994.685600000002,1866.2600000000018,0.9039239022952824,0.804167823874657,0.8540458630849697,0.8871066844304429,0.8719492797878973,0.6152109836854821,0,0,0.18000000000000682,0.2300000000000182,0.4000000000000057,0.18000000000000682,0.10000000000002274,0.2300000000000182
2,2,1,0.7132589057255896,0.7083270847797394,0.7132589057255896,0.4444444444444444,0.6363636363636364,0.5572815533980583,0.5936338418862691,48.60000000000002,52.05000000000001,3151.224000000003,2923.128000000002,0.3830476214290482,0.8040339929332067,0.5935408071811274,0.8735009940578242,0.8366819349039216,0.6539321496793834,1,1,1.3400000000000318,2.0600000000000023,-0.5500000000000114,1.3400000000000318,0.8499999999999659,2.0600000000000023
