frame_id,track_id_a,track_id_b,score_total,score_traj,score_rel,score_region,score_temp,conf_a,conf_b,consecutive_hits
383,87,15,0.787716,0.747722,0.797507,0.727131,1.0,0.8665,0.8997,11
384,87,15,0.793673,0.746371,0.814118,0.725734,1.0,0.8721,0.882,12
451,98,115,0.788328,0.556833,0.978519,0.830848,0.5,0.7759,0.7901,3
452,98,115,0.805672,0.59785,0.971938,0.829735,0.6,0.7846,0.7488,4
453,98,115,0.806162,0.559098,0.972745,0.829159,0.7,0.8223,0.7261,5
454,98,115,0.824163,0.590716,0.97363,0.828126,0.8,0.8334,0.708,6
455,98,115,0.835538,0.595056,0.974715,0.82755,0.9,0.8412,0.6978,7
456,98,115,0.845048,0.617146,0.959036,0.828587,1.0,0.848,0.672,8
457,98,115,0.850274,0.636078,0.96152,0.826585,1.0,0.8423,0.6693,9
458,98,115,0.852187,0.649686,0.959854,0.823296,1.0,0.836,0.6203,10
472,98,113,0.749453,0.616359,0.927547,0.697377,0.5,0.8651,0.8335,3
473,98,113,0.704285,0.607907,0.794922,0.697358,0.6,0.8654,0.8187,4
474,98,113,0.73235,0.594617,0.848526,0.697142,0.7,0.8633,0.8253,5
475,98,113,0.789251,0.58584,0.970936,0.697667,0.8,0.8674,0.8273,6
476,98,113,0.786553,0.610029,0.923457,0.69865,0.9,0.8724,0.817,7
477,98,113,0.815686,0.602581,0.9756,0.699205,1.0,0.8707,0.8361,8
478,98,113,0.794025,0.605679,0.919913,0.698563,1.0,0.8756,0.855,9
479,98,113,0.788606,0.57956,0.923327,0.69754,1.0,0.8758,0.8378,10
560,115,121,0.730682,0.685795,0.810628,0.739929,0.5,0.852,0.8319,3
570,115,166,0.737043,0.69409,0.855375,0.685482,0.5,0.8632,0.8747,3
571,115,166,0.740721,0.654943,0.871173,0.674065,0.6,0.8579,0.8969,4
572,115,166,0.731533,0.65488,0.830861,0.661875,0.7,0.8438,0.8825,5
573,115,166,0.785459,0.706493,0.915421,0.650671,0.8,0.8554,0.9019,6
574,115,166,0.746782,0.658727,0.830696,0.639288,0.9,0.8525,0.8833,7
575,115,166,0.773709,0.725767,0.837504,0.629062,1.0,0.8638,0.8908,8
576,115,166,0.765115,0.704161,0.836509,0.617884,1.0,0.8675,0.8726,9
577,115,166,0.769999,0.74885,0.827112,0.607767,1.0,0.8614,0.8922,10
578,115,166,0.768288,0.735578,0.837645,0.59734,1.0,0.863,0.8881,11
579,115,166,0.709997,0.71,0.714212,0.587249,1.0,0.8613,0.8832,12
601,13,121,0.736125,0.648873,0.931626,0.605025,0.5,0.6481,0.8538,3
602,13,121,0.747021,0.648768,0.932501,0.607315,0.6,0.6058,0.8511,4
610,13,121,0.735447,0.592805,0.958245,0.61579,0.5,0.6806,0.8322,3
611,13,121,0.749609,0.605068,0.960697,0.616255,0.6,0.6944,0.8303,4
612,13,121,0.752306,0.627616,0.927991,0.616821,0.7,0.6615,0.8106,5
613,13,121,0.733261,0.629343,0.853697,0.617785,0.8,0.6872,0.8485,6
614,13,121,0.72535,0.606389,0.822823,0.618495,0.9,0.7182,0.8476,7
615,13,121,0.755349,0.621298,0.862689,0.619795,1.0,0.6587,0.8425,8
616,13,121,0.777019,0.621983,0.916581,0.619563,1.0,0.6993,0.8454,9
617,13,121,0.773732,0.616548,0.912319,0.61867,1.0,0.7009,0.8356,10
618,13,121,0.790068,0.672127,0.919091,0.617598,1.0,0.666,0.8491,11
619,13,121,0.782214,0.644756,0.916631,0.617491,1.0,0.6513,0.8439,12
620,13,121,0.773923,0.604772,0.921282,0.616868,1.0,0.6769,0.8528,13
621,13,121,0.793706,0.621677,0.959981,0.617178,1.0,0.632,0.8538,14
622,13,121,0.703471,0.592126,0.753088,0.616818,1.0,0.6127,0.8498,15
623,13,121,0.770452,0.581259,0.927547,0.616472,1.0,0.705,0.8459,16
624,13,121,0.766799,0.689539,0.85077,0.616423,1.0,0.7042,0.8374,17
625,13,121,0.730636,0.61868,0.804946,0.615951,1.0,0.6761,0.8338,18
626,13,121,0.709188,0.625957,0.746649,0.616159,1.0,0.6466,0.8103,19
627,13,121,0.722282,0.603077,0.79402,0.615617,1.0,0.6292,0.8281,20
