frame_id,track_id_a,track_id_b,score_total,score_graph,score_temp,score_center,num_valid_a,num_valid_b,best_total_score
10,7,7,0.850549,0.714445,0.136103,0.0,9,13,5.89408
10,8,3,0.919083,0.781641,0.137443,0.0,9,13,5.89408
11,1,12,0.750471,0.750471,0.0,0.0,10,13,6.242465
11,5,13,0.695324,0.629741,0.065583,0.0,10,13,6.242465
11,25,26,0.744765,0.681309,0.063456,0.0,10,13,6.242465
11,2,6,0.797344,0.693672,0.103672,0.0,10,13,6.242465
11,3,5,0.613305,0.654518,-0.041213,0.0,10,13,6.242465
11,6,2,0.794354,0.658801,0.135553,0.0,10,13,6.242465
11,7,7,0.889528,0.742549,0.146978,0.0,10,13,6.242465
11,8,3,0.957375,0.802502,0.154873,0.0,10,13,6.242465
12,1,12,0.763813,0.763813,0.0,0.0,10,13,6.251313
12,5,13,0.704583,0.63321,0.071373,0.0,10,13,6.251313
12,25,26,0.75017,0.687371,0.0628,0.0,10,13,6.251313
12,2,1,0.636044,0.554347,0.081697,0.0,10,13,6.251313
12,3,5,0.770062,0.657593,0.112469,0.0,10,13,6.251313
12,6,2,0.781336,0.650796,0.13054,0.0,10,13,6.251313
12,7,7,0.88702,0.744233,0.142787,0.0,10,13,6.251313
12,8,3,0.958286,0.804454,0.153831,0.0,10,13,6.251313
13,1,12,0.757477,0.757477,0.0,0.0,10,13,6.934789
13,5,13,0.695504,0.623463,0.072041,0.0,10,13,6.934789
13,11,21,0.642047,0.564825,0.077222,0.0,10,13,6.934789
13,25,26,0.766858,0.69789,0.068969,0.0,10,13,6.934789
13,2,1,0.651493,0.557865,0.093629,0.0,10,13,6.934789
13,3,5,0.767327,0.654566,0.112761,0.0,10,13,6.934789
13,6,2,0.784698,0.657597,0.127102,0.0,10,13,6.934789
13,7,7,0.897175,0.751957,0.145218,0.0,10,13,6.934789
13,8,3,0.972209,0.814549,0.15766,0.0,10,13,6.934789
14,1,12,0.787049,0.787049,0.0,0.0,10,13,7.345852
14,5,13,0.734852,0.661911,0.072941,0.0,10,13,7.345852
14,4,21,0.775232,0.686641,0.088591,0.0,10,13,7.345852
14,25,26,0.840313,0.743172,0.097141,0.0,10,13,7.345852
14,2,1,0.714665,0.608502,0.106164,0.0,10,13,7.345852
14,3,5,0.750216,0.639389,0.110826,0.0,10,13,7.345852
14,6,2,0.839438,0.689702,0.149736,0.0,10,13,7.345852
14,7,7,0.900911,0.757809,0.143102,0.0,10,13,7.345852
14,8,3,1.003176,0.846394,0.156782,0.0,10,13,7.345852
15,1,12,0.792503,0.792503,0.0,0.0,10,13,7.356137
15,5,13,0.733811,0.659421,0.074391,0.0,10,13,7.356137
15,4,21,0.775707,0.68656,0.089148,0.0,10,13,7.356137
15,25,26,0.819617,0.719485,0.100132,0.0,10,13,7.356137
15,2,1,0.731622,0.616851,0.114771,0.0,10,13,7.356137
15,3,5,0.744939,0.636348,0.108591,0.0,10,13,7.356137
15,6,2,0.836619,0.688969,0.14765,0.0,10,13,7.356137
15,7,7,0.903387,0.762318,0.14107,0.0,10,13,7.356137
15,8,3,1.017931,0.860479,0.157453,0.0,10,13,7.356137
16,5,21,0.580614,0.580614,0.0,0.0,11,13,7.018027
16,28,27,0.680195,0.559534,0.120661,0.0,11,13,7.018027
16,25,26,0.808858,0.764242,0.044616,0.0,11,13,7.018027
16,11,6,0.678874,0.615804,0.06307,0.0,11,13,7.018027
16,2,1,0.687098,0.611567,0.075531,0.0,11,13,7.018027
16,3,5,0.732582,0.634665,0.097917,0.0,11,13,7.018027
16,6,2,0.860096,0.703446,0.15665,0.0,11,13,7.018027
16,7,7,0.946021,0.7908,0.155221,0.0,11,13,7.018027
16,8,3,1.043689,0.872398,0.171291,0.0,11,13,7.018027
17,5,21,0.576407,0.576407,0.0,0.0,11,13,7.041012
17,28,27,0.668849,0.570477,0.098372,0.0,11,13,7.041012
17,25,26,0.81208,0.756727,0.055353,0.0,11,13,7.041012
17,11,6,0.707245,0.634849,0.072397,0.0,11,13,7.041012
17,2,1,0.68878,0.60644,0.082341,0.0,11,13,7.041012
17,3,5,0.731549,0.632094,0.099455,0.0,11,13,7.041012
17,6,2,0.864128,0.705732,0.158396,0.0,11,13,7.041012
17,7,7,0.946003,0.790055,0.155947,0.0,11,13,7.041012
17,8,3,1.045971,0.872199,0.173772,0.0,11,13,7.041012
18,1,12,0.771545,0.771545,0.0,0.0,11,13,7.932712
18,5,21,0.648794,0.56774,0.081054,0.0,11,13,7.932712
18,28,27,0.695527,0.57781,0.117717,0.0,11,13,7.932712
18,25,26,0.79415,0.746777,0.047373,0.0,11,13,7.932712
18,11,6,0.724032,0.644083,0.07995,0.0,11,13,7.932712
18,2,1,0.69641,0.60756,0.088849,0.0,11,13,7.932712
18,3,5,0.728119,0.630769,0.09735,0.0,11,13,7.932712
18,6,2,0.87648,0.710721,0.165759,0.0,11,13,7.932712
18,7,7,0.949465,0.795499,0.153966,0.0,11,13,7.932712
18,8,3,1.048189,0.874438,0.173751,0.0,11,13,7.932712
19,1,12,0.783681,0.783681,0.0,0.0,11,13,7.929866
19,5,21,0.640211,0.560955,0.079256,0.0,11,13,7.929866
19,28,27,0.71534,0.594648,0.120692,0.0,11,13,7.929866
19,25,26,0.797117,0.74321,0.053907,0.0,11,13,7.929866
19,11,6,0.714203,0.641724,0.072479,0.0,11,13,7.929866
19,2,1,0.701755,0.609331,0.092424,0.0,11,13,7.929866
19,3,5,0.716772,0.625193,0.091579,0.0,11,13,7.929866
19,6,2,0.865349,0.705951,0.159398,0.0,11,13,7.929866
19,7,7,0.946111,0.795646,0.150465,0.0,11,13,7.929866
19,8,3,1.049328,0.875378,0.17395,0.0,11,13,7.929866
20,1,12,0.781001,0.781001,0.0,0.0,11,13,7.949245
20,5,21,0.640096,0.566591,0.073506,0.0,11,13,7.949245
20,28,27,0.707644,0.609391,0.098254,0.0,11,13,7.949245
20,25,26,0.79185,0.738548,0.053301,0.0,11,13,7.949245
20,11,6,0.730663,0.649493,0.08117,0.0,11,13,7.949245
20,2,1,0.706107,0.607339,0.098768,0.0,11,13,7.949245
20,3,5,0.72618,0.630196,0.095984,0.0,11,13,7.949245
20,6,2,0.872151,0.709135,0.163015,0.0,11,13,7.949245
20,7,7,0.946034,0.795759,0.150275,0.0,11,13,7.949245
20,8,3,1.04752,0.873094,0.174426,0.0,11,13,7.949245
21,1,12,0.785782,0.785782,0.0,0.0,11,14,7.855266
21,5,13,0.6796,0.56825,0.11135,0.0,11,14,7.855266
21,4,21,0.740251,0.616491,0.12376,0.0,11,14,7.855266
21,25,26,0.742314,0.677266,0.065048,0.0,11,14,7.855266
21,11,6,0.694441,0.614403,0.080038,0.0,11,14,7.855266
21,2,1,0.709279,0.607352,0.101927,0.0,11,14,7.855266
21,3,5,0.704076,0.600694,0.103382,0.0,11,14,7.855266
21,6,2,0.853317,0.694872,0.158445,0.0,11,14,7.855266
21,7,7,0.918762,0.776038,0.142724,0.0,11,14,7.855266
21,8,3,1.027443,0.861494,0.165949,0.0,11,14,7.855266
22,1,12,0.782407,0.782407,0.0,0.0,11,14,7.854471
22,5,13,0.686513,0.571739,0.114774,0.0,11,14,7.854471
22,4,21,0.731525,0.617415,0.11411,0.0,11,14,7.854471
22,25,26,0.736965,0.663726,0.073239,0.0,11,14,7.854471
22,11,6,0.718546,0.625299,0.093247,0.0,11,14,7.854471
22,2,1,0.7151,0.6094,0.1057,0.0,11,14,7.854471
22,3,5,0.699727,0.599844,0.099883,0.0,11,14,7.854471
22,6,2,0.847692,0.692415,0.155277,0.0,11,14,7.854471
22,7,7,0.916053,0.777861,0.138192,0.0,11,14,7.854471
22,8,3,1.019944,0.857693,0.162251,0.0,11,14,7.854471
23,1,4,0.65297,0.65297,0.0,0.0,12,14,7.273148
23,28,27,0.746538,0.640851,0.105687,0.0,12,14,7.273148
23,4,6,0.849111,0.706451,0.142661,0.0,12,14,7.273148
23,25,26,0.833472,0.680706,0.152766,0.0,12,14,7.273148
23,11,8,0.702138,0.614442,0.087697,0.0,12,14,7.273148
23,3,5,0.695433,0.636612,0.058821,0.0,12,14,7.273148
23,6,2,0.869545,0.70768,0.161865,0.0,12,14,7.273148
23,7,7,0.916719,0.766291,0.150428,0.0,12,14,7.273148
23,8,3,1.007223,0.836091,0.171131,0.0,12,14,7.273148
24,1,4,0.651691,0.651691,0.0,0.0,13,13,7.801092
24,28,27,0.792049,0.677113,0.114936,0.0,13,13,7.801092
24,4,6,0.954534,0.787158,0.167377,0.0,13,13,7.801092
24,25,26,0.924303,0.73987,0.184433,0.0,13,13,7.801092
24,11,8,0.793685,0.648893,0.144793,0.0,13,13,7.801092
24,3,5,0.748264,0.683103,0.065161,0.0,13,13,7.801092
24,6,2,0.927024,0.754345,0.172679,0.0,13,13,7.801092
24,7,7,0.973497,0.808251,0.165246,0.0,13,13,7.801092
24,8,3,1.036045,0.852253,0.183792,0.0,13,13,7.801092
25,1,4,0.668755,0.668755,0.0,0.0,12,13,7.614202
25,28,27,0.796321,0.694599,0.101721,0.0,12,13,7.614202
25,4,6,0.958827,0.79501,0.163818,0.0,12,13,7.614202
25,25,26,0.925488,0.744385,0.181104,0.0,12,13,7.614202
25,11,8,0.700444,0.625784,0.07466,0.0,12,13,7.614202
25,3,5,0.711731,0.660673,0.051057,0.0,12,13,7.614202
25,6,2,0.891077,0.733335,0.157742,0.0,12,13,7.614202
25,7,7,0.941236,0.782843,0.158392,0.0,12,13,7.614202
25,8,3,1.020323,0.841798,0.178525,0.0,12,13,7.614202
26,5,21,0.563994,0.563994,0.0,0.0,12,13,6.319882
26,28,27,0.720544,0.637713,0.082831,0.0,12,13,6.319882
26,4,6,0.914579,0.754887,0.159692,0.0,12,13,6.319882
26,25,26,0.900411,0.715351,0.18506,0.0,12,13,6.319882
26,11,8,0.806364,0.668334,0.13803,0.0,12,13,6.319882
26,3,5,0.685889,0.630485,0.055404,0.0,12,13,6.319882
26,7,7,0.802859,0.74334,0.059519,0.0,12,13,6.319882
26,8,3,0.925241,0.82769,0.097551,0.0,12,13,6.319882
27,5,21,0.572033,0.572033,0.0,0.0,12,13,6.366382
27,28,27,0.733636,0.646808,0.086828,0.0,12,13,6.366382
27,4,6,0.91486,0.755109,0.159751,0.0,12,13,6.366382
27,25,26,0.911849,0.721414,0.190435,0.0,12,13,6.366382
27,11,8,0.808213,0.66624,0.141973,0.0,12,13,6.366382
27,3,5,0.692646,0.636166,0.056481,0.0,12,13,6.366382
27,7,7,0.803766,0.739135,0.064631,0.0,12,13,6.366382
27,8,3,0.929379,0.830329,0.09905,0.0,12,13,6.366382
28,5,21,0.585926,0.585926,0.0,0.0,11,13,6.267548
28,28,27,0.764599,0.669389,0.09521,0.0,11,13,6.267548
28,4,6,0.916128,0.76061,0.155518,0.0,11,13,6.267548
28,25,26,0.913275,0.737385,0.17589,0.0,11,13,6.267548
28,11,8,0.743081,0.642907,0.100174,0.0,11,13,6.267548
28,3,5,0.66025,0.610171,0.050079,0.0,11,13,6.267548
28,7,7,0.791403,0.721955,0.069447,0.0,11,13,6.267548
28,8,3,0.892886,0.80734,0.085547,0.0,11,13,6.267548
29,5,21,0.577389,0.577389,0.0,0.0,11,13,6.35319
29,28,27,0.78686,0.678356,0.108504,0.0,11,13,6.35319
29,4,6,0.933697,0.772186,0.16151,0.0,11,13,6.35319
29,25,26,0.92951,0.750414,0.179096,0.0,11,13,6.35319
29,11,8,0.752499,0.653844,0.098655,0.0,11,13,6.35319
29,3,5,0.670851,0.61109,0.059761,0.0,11,13,6.35319
29,7,7,0.79762,0.723334,0.074286,0.0,11,13,6.35319
29,8,3,0.904765,0.81639,0.088375,0.0,11,13,6.35319
30,5,13,0.57357,0.57357,0.0,0.0,11,13,5.228677
30,25,4,0.751098,0.618008,0.13309,0.0,11,13,5.228677
30,11,6,0.779939,0.666138,0.113801,0.0,11,13,5.228677
30,2,26,0.749261,0.621952,0.12731,0.0,11,13,5.228677
30,3,5,0.684526,0.607116,0.07741,0.0,11,13,5.228677
30,7,7,0.779361,0.702806,0.076555,0.0,11,13,5.228677
30,8,3,0.910922,0.821914,0.089008,0.0,11,13,5.228677
31,5,13,0.584957,0.584957,0.0,0.0,11,13,5.301411
31,25,4,0.746082,0.613999,0.132083,0.0,11,13,5.301411
31,11,6,0.80467,0.682011,0.122659,0.0,11,13,5.301411
31,2,26,0.802044,0.65641,0.145634,0.0,11,13,5.301411
31,3,5,0.673142,0.594628,0.078514,0.0,11,13,5.301411
31,7,7,0.764562,0.704135,0.060427,0.0,11,13,5.301411
31,8,3,0.925955,0.832655,0.0933,0.0,11,13,5.301411
32,5,13,0.588137,0.588137,0.0,0.0,11,13,5.381013
32,25,4,0.745431,0.610062,0.135369,0.0,11,13,5.381013
32,11,6,0.83315,0.700009,0.133141,0.0,11,13,5.381013
32,2,26,0.842822,0.685571,0.157251,0.0,11,13,5.381013
32,7,8,0.701753,0.616665,0.085088,0.0,11,13,5.381013
32,6,2,0.706964,0.638393,0.068571,0.0,11,13,5.381013
32,8,3,0.962756,0.84224,0.120516,0.0,11,13,5.381013
33,5,13,0.589723,0.589723,0.0,0.0,11,13,5.414419
33,25,4,0.733419,0.610593,0.122826,0.0,11,13,5.414419
33,11,6,0.844571,0.706098,0.138473,0.0,11,13,5.414419
33,2,26,0.845863,0.685024,0.160838,0.0,11,13,5.414419
33,7,8,0.729221,0.616301,0.112919,0.0,11,13,5.414419
33,6,2,0.710961,0.637317,0.073644,0.0,11,13,5.414419
33,8,3,0.960661,0.839914,0.120748,0.0,11,13,5.414419
34,5,13,0.581338,0.581338,0.0,0.0,11,13,5.397647
34,25,4,0.725587,0.611751,0.113836,0.0,11,13,5.397647
34,11,6,0.836082,0.707384,0.128699,0.0,11,13,5.397647
34,2,26,0.828685,0.663502,0.165183,0.0,11,13,5.397647
34,7,8,0.753261,0.620755,0.132506,0.0,11,13,5.397647
34,6,2,0.7163,0.637623,0.078676,0.0,11,13,5.397647
34,8,3,0.956395,0.834324,0.12207,0.0,11,13,5.397647
35,5,21,0.601379,0.601379,0.0,0.0,11,13,5.40865
35,28,27,0.811697,0.679877,0.13182,0.0,11,13,5.40865
35,11,6,0.7576,0.7152,0.042401,0.0,11,13,5.40865
35,2,26,0.783077,0.647526,0.135551,0.0,11,13,5.40865
35,7,8,0.786135,0.626036,0.160099,0.0,11,13,5.40865
35,6,2,0.721452,0.638667,0.082785,0.0,11,13,5.40865
35,8,3,0.94731,0.827355,0.119955,0.0,11,13,5.40865
36,5,21,0.618202,0.618202,0.0,0.0,11,13,5.394546
36,28,27,0.826869,0.689542,0.137326,0.0,11,13,5.394546
36,11,6,0.763723,0.719347,0.044376,0.0,11,13,5.394546
36,2,26,0.754994,0.638442,0.116552,0.0,11,13,5.394546
36,7,8,0.763106,0.623574,0.139533,0.0,11,13,5.394546
36,6,2,0.723788,0.638932,0.084857,0.0,11,13,5.394546
36,8,3,0.943863,0.823359,0.120504,0.0,11,13,5.394546
37,5,13,0.652025,0.652025,0.0,0.0,11,12,5.308466
37,28,27,0.765558,0.726773,0.038785,0.0,11,12,5.308466
37,25,26,0.818628,0.70704,0.111588,0.0,11,12,5.308466
37,11,8,0.782327,0.660334,0.121993,0.0,11,12,5.308466
37,3,5,0.639116,0.588544,0.050572,0.0,11,12,5.308466
37,7,7,0.726751,0.676319,0.050432,0.0,11,12,5.308466
37,8,3,0.924062,0.828743,0.095319,0.0,11,12,5.308466
38,5,13,0.660463,0.660463,0.0,0.0,11,12,5.288211
38,28,27,0.781047,0.740751,0.040296,0.0,11,12,5.288211
38,25,26,0.820385,0.708091,0.112294,0.0,11,12,5.288211
38,11,8,0.782072,0.663689,0.118384,0.0,11,12,5.288211
38,3,5,0.603656,0.573707,0.02995,0.0,11,12,5.288211
38,7,7,0.723272,0.671639,0.051633,0.0,11,12,5.288211
38,8,3,0.917316,0.825133,0.092183,0.0,11,12,5.288211
39,4,13,0.676907,0.676907,0.0,0.0,11,12,4.351635
39,11,21,0.701169,0.656412,0.044756,0.0,11,12,4.351635
39,2,1,0.610826,0.587407,0.023418,0.0,11,12,4.351635
39,7,8,0.721596,0.617031,0.104565,0.0,11,12,4.351635
39,6,2,0.71176,0.634771,0.076989,0.0,11,12,4.351635
39,8,3,0.929379,0.821478,0.107901,0.0,11,12,4.351635
40,28,27,0.675855,0.675855,0.0,0.0,11,12,4.869956
40,25,26,0.904572,0.732094,0.172478,0.0,11,12,4.869956
40,4,8,0.754076,0.631136,0.122941,0.0,11,12,4.869956
40,11,14,0.831955,0.639903,0.192052,0.0,11,12,4.869956
40,7,7,0.770715,0.664816,0.105899,0.0,11,12,4.869956
40,8,3,0.932783,0.840256,0.092527,0.0,11,12,4.869956
41,4,13,0.668637,0.668637,0.0,0.0,11,12,4.322407
41,11,21,0.704539,0.65507,0.049469,0.0,11,12,4.322407
41,2,1,0.60521,0.584483,0.020728,0.0,11,12,4.322407
41,7,8,0.715488,0.623093,0.092395,0.0,11,12,4.322407
41,6,2,0.699739,0.64048,0.059259,0.0,11,12,4.322407
41,8,3,0.928794,0.819199,0.109595,0.0,11,12,4.322407
42,5,21,0.569488,0.569488,0.0,0.0,11,12,5.958336
42,28,4,0.734943,0.604704,0.130239,0.0,11,12,5.958336
42,25,27,0.687395,0.621214,0.06618,0.0,11,12,5.958336
42,4,26,0.732148,0.57439,0.157758,0.0,11,12,5.958336
42,11,8,0.796603,0.751919,0.044685,0.0,11,12,5.958336
42,2,2,0.730329,0.654599,0.07573,0.0,11,12,5.958336
42,7,7,0.750637,0.672959,0.077678,0.0,11,12,5.958336
42,8,3,0.956793,0.864114,0.092679,0.0,11,12,5.958336
43,5,21,0.569778,0.569778,0.0,0.0,11,12,6.004182
43,28,4,0.751972,0.612307,0.139665,0.0,11,12,6.004182
43,25,27,0.680408,0.614229,0.066179,0.0,11,12,6.004182
43,4,26,0.757638,0.584475,0.173163,0.0,11,12,6.004182
43,11,8,0.799439,0.741513,0.057926,0.0,11,12,6.004182
43,2,2,0.727032,0.652646,0.074385,0.0,11,12,6.004182
43,7,7,0.757225,0.681157,0.076068,0.0,11,12,6.004182
43,8,3,0.960691,0.870751,0.08994,0.0,11,12,6.004182
44,5,21,0.574243,0.574243,0.0,0.0,11,12,6.060739
44,28,4,0.76494,0.621581,0.143359,0.0,11,12,6.060739
44,25,27,0.686872,0.614049,0.072823,0.0,11,12,6.060739
44,4,26,0.770125,0.592624,0.177501,0.0,11,12,6.060739
44,11,8,0.800433,0.726312,0.074121,0.0,11,12,6.060739
44,2,2,0.731301,0.65672,0.074581,0.0,11,12,6.060739
44,7,7,0.773557,0.695822,0.077735,0.0,11,12,6.060739
44,8,3,0.959267,0.869938,0.089329,0.0,11,12,6.060739
45,5,21,0.647079,0.647079,0.0,0.0,11,11,6.535917
45,28,27,0.798242,0.715424,0.082817,0.0,11,11,6.535917
45,25,26,0.916634,0.727541,0.189093,0.0,11,11,6.535917
45,4,8,0.836482,0.732593,0.103889,0.0,11,11,6.535917
45,11,14,0.946441,0.739293,0.207148,0.0,11,11,6.535917
45,2,2,0.691417,0.605086,0.086331,0.0,11,11,6.535917
45,7,7,0.729008,0.721579,0.007429,0.0,11,11,6.535917
45,8,3,0.970616,0.865108,0.105508,0.0,11,11,6.535917
46,28,27,0.77362,0.77362,0.0,0.0,11,11,5.775647
46,25,26,0.83981,0.742487,0.097323,0.0,11,11,5.775647
46,4,8,0.824084,0.722312,0.101772,0.0,11,11,5.775647
