frame_id,track_id_a,track_id_b,score_total,score_traj,score_rel,score_temp
1,1,16,0.857831,1.0,0.879517,0.0
1,2,1,0.840204,1.0,0.829153,0.0
1,3,21,0.886505,1.0,0.961442,0.0
1,4,20,0.866833,1.0,0.905237,0.0
1,5,4,0.819201,1.0,0.769146,0.0
1,6,13,0.876467,1.0,0.932762,0.0
1,7,18,0.845097,1.0,0.843135,0.0
1,8,7,0.862778,1.0,0.893652,0.0
1,9,2,0.851729,1.0,0.862083,0.0
1,10,6,0.846258,1.0,0.84645,0.0
1,11,9,0.852579,1.0,0.864513,0.0
1,12,3,0.861474,1.0,0.889926,0.0
1,13,8,0.859071,1.0,0.883059,0.0
1,14,17,0.845349,1.0,0.843855,0.0
1,15,19,0.849641,1.0,0.856117,0.0
1,16,14,0.831886,1.0,0.80539,0.0
1,17,10,0.851522,1.0,0.861491,0.0
1,18,23,0.823602,1.0,0.78172,0.0
1,19,22,0.861851,1.0,0.891004,0.0
1,20,12,0.840739,1.0,0.830682,0.0
2,1,16,0.901969,1.0,0.88277,0.43
2,2,6,0.853992,1.0,0.868548,0.0
2,3,4,0.876828,1.0,0.933795,0.0
2,4,20,0.873594,1.0,0.801697,0.43
2,5,3,0.774177,0.857467,0.864486,0.0
2,6,2,0.814964,1.0,0.757041,0.0
2,7,17,0.818987,1.0,0.768535,0.0
2,8,7,0.799645,0.857467,0.814395,0.43
2,9,9,0.80222,1.0,0.720629,0.0
2,10,1,0.813048,1.0,0.751566,0.0
2,11,21,0.840583,1.0,0.830238,0.0
2,12,5,0.791318,1.0,0.68948,0.0
2,13,8,0.808155,0.857468,0.838709,0.43
2,14,15,0.852181,0.999998,0.863377,0.0
2,15,19,0.821244,0.999999,0.652126,0.43
2,16,14,0.815561,0.857468,0.859867,0.43
2,17,18,0.861585,1.0,0.890243,0.0
2,18,23,0.858326,0.999999,0.758078,0.43
2,19,12,0.803896,1.0,0.725417,0.0
2,20,22,0.762714,0.857468,0.831733,0.0
3,1,16,0.905911,0.982539,0.898613,0.51
3,2,6,0.830325,0.959522,0.741678,0.43
3,3,2,0.800196,0.998309,0.717501,0.0
3,4,19,0.782194,0.920443,0.788431,0.0
3,5,9,0.756362,0.969188,0.638025,0.0
3,6,17,0.781904,0.850351,0.897747,0.0
3,7,21,0.814559,0.941962,0.847084,0.0
3,8,20,0.695556,0.846403,0.65724,0.0
3,9,11,0.728368,0.861817,0.726766,0.0
3,10,1,0.848721,0.962028,0.790302,0.43
3,11,7,0.800033,0.931437,0.822121,0.0
3,12,5,0.840749,0.988405,0.726075,0.43
3,13,8,0.812505,0.839981,0.855757,0.51
3,14,15,0.786244,0.866533,0.761859,0.43
3,15,22,0.844261,0.966943,0.892692,0.0
3,16,14,0.83494,0.867635,0.876402,0.51
3,17,10,0.855309,0.949819,0.851168,0.35
3,18,23,0.73619,0.802374,0.696811,0.51
3,19,13,0.714156,0.815642,0.758722,0.0
3,20,12,0.730214,0.762512,0.788091,0.35
4,1,10,0.630259,0.651213,0.777406,0.0
4,2,6,0.7552,0.75556,0.824692,0.51
4,3,2,0.830399,0.96741,0.729495,0.43
4,4,19,0.804338,0.886482,0.78221,0.43
4,5,3,0.683837,0.607315,0.899468,0.35
4,6,17,0.770384,0.835063,0.765999,0.43
4,7,7,0.762695,0.874946,0.804213,0.0
4,8,20,0.729067,0.805911,0.693759,0.43
4,9,14,0.694088,0.757073,0.793422,0.0
4,10,1,0.86673,0.962391,0.81833,0.51
4,11,9,0.70733,0.691904,0.833667,0.35
4,12,5,0.837012,0.986207,0.695995,0.51
4,13,8,0.693677,0.714207,0.691037,0.59
4,14,15,0.693358,0.732458,0.684302,0.51
4,15,21,0.755574,0.907869,0.73213,0.0
4,16,12,0.685669,0.8087,0.68824,0.0
4,17,23,0.656058,0.681166,0.804047,0.0
4,18,11,0.664312,0.764737,0.696306,0.0
4,20,4,0.662902,0.775678,0.675083,0.0
5,1,20,0.59282,0.68367,0.619433,0.0
5,2,6,0.709358,0.660815,0.819742,0.59
5,3,2,0.753013,0.864712,0.646918,0.51
5,4,19,0.789056,0.84902,0.774558,0.51
5,5,3,0.686665,0.572572,0.916431,0.51
5,6,17,0.733171,0.741796,0.78338,0.51
5,7,7,0.700048,0.724231,0.739203,0.43
5,8,10,0.670962,0.656217,0.885836,0.0
5,9,12,0.657475,0.833135,0.569288,0.0
5,10,1,0.801222,0.873893,0.747373,0.59
5,11,9,0.734935,0.690268,0.869394,0.51
5,12,5,0.765708,0.85229,0.679853,0.59
5,13,8,0.715068,0.734746,0.69702,0.67
5,14,23,0.72875,0.7919,0.837729,0.0
5,15,11,0.690873,0.81552,0.692392,0.0
5,16,14,0.704113,0.71744,0.784347,0.35
5,18,21,0.637874,0.67424,0.762978,0.0
5,20,4,0.6856,0.746749,0.662535,0.43
6,1,4,0.672236,0.735973,0.764145,0.0
6,2,5,0.684652,0.852898,0.615879,0.0
6,3,2,0.726806,0.833526,0.598191,0.59
6,4,19,0.757777,0.840362,0.675936,0.59
6,5,3,0.648262,0.570365,0.787317,0.59
6,6,17,0.712514,0.721009,0.734169,0.59
6,7,7,0.74547,0.725188,0.84462,0.51
6,8,12,0.631243,0.591649,0.873819,0.0
6,9,11,0.654249,0.661407,0.729929,0.35
6,10,1,0.80133,0.822586,0.805451,0.67
6,11,9,0.709866,0.606113,0.907153,0.59
6,13,8,0.719982,0.696044,0.74902,0.75
6,14,23,0.718688,0.729767,0.783762,0.43
6,15,6,0.646377,0.67458,0.786737,0.0
6,16,14,0.804875,0.7651,0.905914,0.67
6,18,21,0.637225,0.618419,0.725984,0.43
6,20,22,0.585791,0.58331,0.714201,0.15
6,23,18,0.564694,0.582268,0.698418,0.0
7,1,4,0.691993,0.737845,0.694796,0.43
7,2,5,0.703135,0.80812,0.616197,0.43
7,3,2,0.74834,0.829653,0.642945,0.67
7,4,19,0.769527,0.849307,0.672594,0.67
7,5,3,0.638865,0.55615,0.75995,0.67
7,6,17,0.725714,0.717239,0.754949,0.67
7,7,7,0.782164,0.734297,0.912287,0.59
7,8,12,0.701848,0.607173,0.928295,0.43
7,9,11,0.663277,0.654659,0.720613,0.51
7,10,1,0.799089,0.818144,0.783171,0.75
7,11,9,0.721943,0.607788,0.91617,0.67
7,13,8,0.700787,0.663907,0.721825,0.83
7,14,23,0.731497,0.755083,0.757717,0.51
7,15,6,0.67675,0.643879,0.798903,0.43
7,16,14,0.803028,0.746218,0.90745,0.75
7,18,21,0.610044,0.582302,0.682224,0.51
7,20,22,0.617591,0.571175,0.721273,0.51
7,23,18,0.696521,0.713284,0.746328,0.43
7,25,24,0.566096,0.583238,0.7009,0.0
8,1,4,0.667672,0.728273,0.61749,0.51
8,2,24,0.640892,0.700997,0.729553,0.0
8,3,2,0.751461,0.81428,0.653164,0.75
8,4,19,0.775352,0.77367,0.785239,0.75
8,5,9,0.651633,0.67505,0.758158,0.15
8,6,17,0.717135,0.70717,0.723404,0.75
8,7,7,0.732755,0.730972,0.753486,0.67
8,8,13,0.679175,0.72536,0.800648,0.0
8,9,11,0.649715,0.606677,0.73441,0.59
8,10,1,0.830955,0.832651,0.828563,0.83
8,11,25,0.636185,0.63336,0.82239,0.0
8,13,8,0.72392,0.690787,0.72282,0.91
8,14,23,0.720844,0.723549,0.753977,0.59
8,15,6,0.679599,0.649047,0.776068,0.51
8,16,14,0.792081,0.742823,0.858654,0.83
8,18,15,0.623851,0.59168,0.852649,0.0
8,20,22,0.642316,0.555386,0.793868,0.59
8,23,18,0.707848,0.705337,0.768323,0.51
8,25,5,0.640718,0.758117,0.639295,0.0
9,1,4,0.659535,0.71985,0.584621,0.59
9,2,24,0.646547,0.657477,0.691242,0.43
9,3,2,0.748747,0.795611,0.651889,0.83
9,4,19,0.777701,0.762114,0.787251,0.83
9,5,9,0.641086,0.673894,0.626984,0.51
9,6,17,0.695187,0.641751,0.740642,0.83
9,7,7,0.761356,0.74021,0.79783,0.75
9,8,12,0.681813,0.566331,0.958087,0.35
9,9,20,0.651213,0.65715,0.827945,0.0
9,10,1,0.789311,0.802424,0.734223,0.91
9,11,25,0.649244,0.629813,0.742419,0.43
9,13,8,0.683244,0.652227,0.644341,0.99
9,14,23,0.712016,0.685458,0.765753,0.67
9,15,6,0.65031,0.581848,0.775126,0.59
9,16,14,0.780308,0.741867,0.803661,0.91
9,23,18,0.644647,0.537883,0.828033,0.59
9,25,5,0.682272,0.716516,0.700538,0.43
10,1,4,0.667715,0.729436,0.570071,0.67
10,2,24,0.623047,0.622764,0.655792,0.51
10,3,2,0.751577,0.779347,0.662674,0.91
10,4,19,0.729577,0.721033,0.691454,0.91
10,5,9,0.670677,0.7156,0.623134,0.59
10,6,17,0.700897,0.610482,0.783233,0.91
10,7,7,0.778987,0.718909,0.858819,0.83
10,8,13,0.640129,0.685121,0.652322,0.35
10,9,20,0.709479,0.655317,0.874441,0.43
10,10,1,0.800599,0.806594,0.737063,0.99
10,11,25,0.655123,0.568804,0.83223,0.51
10,13,8,0.663267,0.638376,0.606172,1.0
10,14,23,0.681377,0.644595,0.719572,0.75
10,15,6,0.623034,0.619974,0.614423,0.67
10,16,14,0.784934,0.743288,0.791787,0.99
10,23,18,0.615531,0.512802,0.761401,0.67
10,25,5,0.677327,0.72226,0.654525,0.51
10,27,26,0.773955,1.0,0.639871,0.0
11,1,4,0.729217,0.758456,0.67733,0.75
11,2,24,0.646643,0.593442,0.746428,0.59
11,3,2,0.790828,0.814812,0.696233,0.99
11,4,19,0.725966,0.711161,0.673793,0.99
11,5,9,0.677523,0.664633,0.699928,0.67
11,6,17,0.766431,0.649016,0.887064,0.99
11,7,7,0.775632,0.757956,0.765017,0.91
11,8,13,0.688808,0.682589,0.749669,0.51
11,9,20,0.685082,0.63622,0.81189,0.51
11,10,1,0.821349,0.819007,0.773986,1.0
11,11,11,0.67868,0.703924,0.832921,0.0
11,13,8,0.673897,0.625992,0.656004,1.0
11,14,23,0.694785,0.63141,0.755741,0.83
11,15,6,0.628361,0.598418,0.640661,0.75
11,16,14,0.770823,0.728554,0.771765,1.0
11,23,18,0.630784,0.515214,0.778332,0.75
11,25,5,0.774035,0.728748,0.897783,0.59
11,27,26,0.807961,1.0,0.614176,0.43
11,18,21,0.606792,0.566251,0.801012,0.15
12,1,4,0.73589,0.756002,0.677397,0.83
12,2,24,0.661379,0.583408,0.781442,0.67
12,3,2,0.761859,0.780158,0.665065,1.0
12,4,19,0.726084,0.706801,0.678123,1.0
12,5,9,0.707003,0.703224,0.700657,0.75
12,6,17,0.746429,0.651701,0.822839,1.0
12,7,7,0.751409,0.703383,0.758709,0.99
12,8,13,0.721579,0.695544,0.800084,0.59
12,9,20,0.693861,0.655975,0.783071,0.59
12,10,1,0.839002,0.844269,0.784727,1.0
12,11,11,0.715627,0.726157,0.780686,0.43
12,13,8,0.700681,0.629299,0.727333,1.0
12,14,23,0.684225,0.600638,0.75107,0.91
12,15,21,0.610642,0.587065,0.822161,0.0
12,16,14,0.727355,0.672955,0.734941,1.0
12,23,22,0.621983,0.560698,0.895999,0.0
12,25,5,0.785448,0.736232,0.895773,0.67
12,27,6,0.588391,0.616428,0.712444,0.0
12,18,25,0.588793,0.541645,0.831109,0.0
12,20,12,0.560484,0.523721,0.778393,0.0
13,1,4,0.740327,0.753236,0.671563,0.91
13,2,24,0.670407,0.586057,0.780216,0.75
13,3,2,0.773673,0.798205,0.670459,1.0
13,4,19,0.740864,0.727618,0.68764,1.0
13,5,9,0.731063,0.73693,0.693576,0.83
13,6,17,0.72733,0.619072,0.819544,1.0
13,7,7,0.721496,0.69107,0.689736,1.0
13,8,13,0.704548,0.716519,0.695608,0.67
13,9,20,0.645324,0.605975,0.700109,0.67
13,10,1,0.820696,0.802703,0.797741,1.0
13,11,11,0.714907,0.728868,0.751514,0.51
13,13,8,0.674565,0.628711,0.65364,1.0
13,14,23,0.72303,0.596282,0.845929,0.99
13,15,21,0.635257,0.61736,0.722026,0.43
13,16,14,0.765759,0.710246,0.786068,1.0
13,23,22,0.632301,0.558182,0.806574,0.43
13,25,5,0.795271,0.736036,0.90129,0.75
13,27,6,0.638725,0.632854,0.707587,0.43
13,18,25,0.62318,0.605127,0.706744,0.43
13,20,12,0.583339,0.501582,0.755626,0.43
14,1,4,0.734663,0.768687,0.608243,0.99
14,2,24,0.703175,0.650701,0.749398,0.83
14,3,2,0.729901,0.788832,0.560123,1.0
14,4,19,0.750316,0.731696,0.708237,1.0
14,5,9,0.751655,0.732104,0.737136,0.91
14,6,17,0.7235,0.637539,0.779582,1.0
14,7,7,0.710517,0.677934,0.67901,1.0
14,8,13,0.66526,0.668423,0.63608,0.75
14,9,20,0.675426,0.638049,0.712854,0.75
14,10,1,0.783944,0.80131,0.694926,1.0
14,11,11,0.711564,0.734347,0.710495,0.59
14,13,8,0.679608,0.642953,0.645669,1.0
14,14,23,0.698931,0.646798,0.694833,1.0
14,15,21,0.670569,0.601059,0.825676,0.51
14,16,14,0.73039,0.701077,0.699421,1.0
14,23,18,0.606305,0.555858,0.75881,0.35
14,25,5,0.754711,0.739639,0.756885,0.83
14,27,6,0.650799,0.615801,0.746023,0.51
14,18,25,0.632986,0.593347,0.730414,0.51
14,28,27,0.833244,1.0,0.809269,0.0
15,1,4,0.698882,0.747846,0.535906,1.0
15,2,24,0.71776,0.583943,0.873117,0.91
15,3,2,0.71626,0.76795,0.553965,1.0
15,4,19,0.775876,0.730395,0.78331,1.0
15,5,9,0.723148,0.718005,0.654985,0.99
15,6,17,0.721248,0.614493,0.809361,1.0
15,7,7,0.707861,0.666059,0.690082,1.0
15,8,13,0.775558,0.736899,0.820753,0.83
15,9,20,0.678137,0.647286,0.683226,0.83
15,10,1,0.78951,0.791045,0.726956,1.0
