1,1,3,1274.04,847.55,1339.16,879.59,1306.60,879.59,0.7382
1,2,3,244.58,601.27,306.94,628.72,275.76,628.72,0.7380
1,3,3,902.24,538.90,966.32,566.81,934.28,566.81,0.7338
1,4,3,573.10,969.61,642.05,1000.02,607.57,1000.02,0.7042
1,5,3,1357.58,798.27,1423.24,827.71,1390.41,827.71,0.6929
1,6,3,366.42,850.04,436.04,883.80,401.23,883.80,0.6899
1,7,3,0.00,887.93,52.75,913.93,26.37,913.93,0.6883
1,8,3,1.21,559.05,41.74,585.71,21.48,585.71,0.5917
1,9,3,1754.90,568.29,1831.36,595.60,1793.13,595.60,0.5581
1,10,3,805.63,812.05,872.88,842.88,839.25,842.88,0.5179
2,1,3,1284.19,847.08,1347.60,878.64,1315.89,878.64,0.7254
2,2,3,240.74,602.74,304.19,629.05,272.46,629.05,0.7303
2,3,3,896.13,537.82,964.23,567.50,930.18,567.50,0.6807
2,4,3,578.08,970.47,647.31,1000.44,612.69,1000.44,0.6738
2,5,3,1368.83,797.48,1434.47,827.58,1401.65,827.58,0.7453
2,6,3,376.82,849.78,446.43,882.57,411.62,882.57,0.6780
2,7,3,4.00,887.23,60.11,913.08,32.06,913.08,0.7099
2,8,3,0.73,558.26,40.01,585.77,20.37,585.77,0.5867
2,9,3,1750.01,568.22,1821.16,596.02,1785.58,596.02,0.6823
3,1,3,1294.22,847.19,1358.92,878.57,1326.57,878.57,0.6517
3,2,3,237.28,604.59,299.87,629.47,268.58,629.47,0.6935
3,3,3,892.76,537.73,959.09,567.24,925.93,567.24,0.7541
3,4,3,578.48,970.22,650.54,1000.45,614.51,1000.45,0.6962
3,5,3,1380.47,798.07,1446.66,827.97,1413.57,827.97,0.5116
3,6,3,386.05,849.50,456.49,883.05,421.27,883.05,0.4843
3,7,3,4.61,886.88,70.30,912.92,37.45,912.92,0.7177
3,8,3,1.00,558.13,37.27,586.34,19.13,586.34,0.5929
3,9,3,1743.35,566.74,1815.51,596.46,1779.43,596.46,0.6277
3,11,3,1055.26,970.74,1117.71,999.80,1086.49,999.80,0.6945
3,12,3,1.12,835.32,27.77,865.16,14.45,865.16,0.6704
3,10,3,828.86,811.25,896.15,840.75,862.51,840.75,0.7431
4,1,3,1304.66,847.00,1370.55,878.58,1337.60,878.58,0.6145
4,2,3,233.69,605.21,295.39,629.11,264.54,629.11,0.7310
4,3,3,887.72,537.35,953.54,566.76,920.63,566.76,0.7420
4,4,3,586.69,970.66,654.53,1000.54,620.61,1000.54,0.6239
4,5,3,1393.62,799.38,1458.16,828.23,1425.89,828.23,0.7030
4,6,3,398.84,850.15,469.51,881.97,434.17,881.97,0.6982
4,7,3,12.43,888.26,78.99,913.04,45.71,913.04,0.6145
4,8,3,0.77,557.32,34.80,587.15,17.79,587.15,0.6655
4,9,3,1736.09,565.80,1807.84,595.98,1771.97,595.98,0.7445
4,11,3,1058.94,970.94,1121.53,999.42,1090.23,999.42,0.6934
4,12,3,1.44,835.06,36.86,864.70,19.15,864.70,0.7106
4,10,3,841.58,810.74,906.88,840.24,874.23,840.24,0.7670
5,1,3,1315.96,848.58,1381.37,879.20,1348.66,879.20,0.7519
5,2,3,229.21,605.00,291.33,628.56,260.27,628.56,0.7275
5,3,3,883.70,537.32,949.06,565.20,916.38,565.20,0.7637
5,4,3,592.81,970.51,658.98,999.51,625.89,999.51,0.6889
5,5,3,1405.90,801.30,1471.16,828.24,1438.53,828.24,0.7082
5,6,3,409.73,849.99,481.18,881.23,445.45,881.23,0.7382
5,7,3,22.32,887.81,88.49,912.60,55.40,912.60,0.6419
5,8,3,0.84,557.43,31.11,587.39,15.98,587.39,0.6202
5,9,3,1728.96,566.46,1801.29,595.76,1765.13,595.76,0.7605
5,11,3,1062.55,970.98,1125.36,999.09,1093.96,999.09,0.6515
5,12,3,1.75,836.10,49.02,863.64,25.39,863.64,0.6834
5,10,3,855.18,810.50,919.16,839.41,887.17,839.41,0.7752
6,1,3,1326.44,848.81,1389.02,878.08,1357.73,878.08,0.7371
6,2,3,224.49,604.47,286.30,628.01,255.40,628.01,0.7142
6,3,3,877.48,537.82,941.89,564.36,909.68,564.36,0.7028
6,4,3,598.79,970.51,662.58,999.03,630.69,999.03,0.6910
6,5,3,1418.31,801.62,1484.17,828.42,1451.24,828.42,0.7110
6,6,3,419.56,849.63,492.71,880.85,456.14,880.85,0.6724
6,7,3,33.18,887.06,101.43,912.24,67.30,912.24,0.6105
6,8,3,0.64,557.79,26.70,586.94,13.67,586.94,0.6911
6,9,3,1722.49,566.83,1793.75,595.07,1758.12,595.07,0.7419
6,11,3,1066.38,971.05,1129.10,998.61,1097.74,998.61,0.6449
6,12,3,2.20,836.81,60.22,863.03,31.21,863.03,0.5575
