1,1,3,78.27,934.95,112.29,988.15,95.28,988.15,0.7985
1,2,3,107.89,877.57,163.65,913.29,135.77,913.29,0.7781
1,3,3,499.57,866.36,528.24,921.30,513.90,921.30,0.7670
1,4,3,34.79,933.74,72.17,992.60,53.48,992.60,0.7585
1,5,3,0.02,947.21,26.27,1005.36,13.14,1005.36,0.7514
1,6,3,624.54,484.17,645.75,523.36,635.14,523.36,0.7476
1,7,3,238.97,840.55,299.76,871.23,269.36,871.23,0.7454
1,8,3,889.19,139.51,905.38,163.59,897.28,163.59,0.7452
1,9,3,87.50,821.00,117.34,877.00,102.42,877.00,0.7413
1,10,3,838.91,88.75,852.53,109.58,845.72,109.58,0.7372
1,11,3,160.41,855.42,229.30,889.55,194.85,889.55,0.7366
1,12,3,619.83,704.32,647.37,754.39,633.60,754.39,0.7355
1,13,3,838.89,609.24,858.56,645.99,848.72,645.99,0.7326
1,14,3,0.04,876.15,34.41,907.77,17.22,907.77,0.7096
1,15,3,834.68,136.96,849.39,161.71,842.03,161.71,0.7048
1,16,3,693.96,96.72,710.98,121.29,702.47,121.29,0.7041
1,17,3,181.35,742.68,236.22,769.72,208.78,769.72,0.6898
1,18,3,29.85,800.64,66.31,842.69,48.08,842.69,0.6858
1,19,3,677.31,287.46,697.24,319.55,687.27,319.55,0.6772
1,20,3,187.93,694.35,244.46,719.10,216.20,719.10,0.6745
1,21,3,174.61,717.88,233.45,745.24,204.03,745.24,0.6734
1,22,3,861.18,93.52,878.83,119.14,870.00,119.14,0.6733
1,23,3,245.53,545.22,291.36,568.27,268.44,568.27,0.6622
1,24,3,198.55,662.87,251.92,687.67,225.24,687.67,0.6485
1,25,3,261.06,486.81,310.50,508.10,285.78,508.10,0.6125
1,26,3,306.06,194.82,349.47,246.53,327.77,246.53,0.6065
1,27,3,327.17,179.29,370.34,196.98,348.76,196.98,0.5951
1,28,3,326.21,286.83,373.19,309.00,349.70,309.00,0.5913
1,29,3,209.73,629.96,266.27,653.99,238.00,653.99,0.5843
1,30,3,0.00,812.05,22.53,853.87,11.27,853.87,0.5827
1,31,3,337.82,266.54,376.24,285.24,357.03,285.24,0.5538
1,32,3,272.83,445.65,323.50,468.53,298.17,468.53,0.5367
1,33,3,724.36,130.90,741.78,162.07,733.07,162.07,0.5228
1,34,3,279.53,426.81,324.25,447.29,301.89,447.29,0.5084
2,1,3,78.56,935.34,112.55,988.53,95.55,988.53,0.7925
2,2,3,108.31,877.68,163.73,913.32,136.02,913.32,0.7867
2,3,3,499.72,866.60,528.45,921.54,514.08,921.54,0.7684
2,4,3,35.06,933.93,72.66,992.41,53.86,992.41,0.7616
2,5,3,0.04,947.38,26.38,1005.94,13.21,1005.94,0.7565
2,6,3,624.70,486.85,645.98,525.79,635.34,525.79,0.6832
2,7,3,239.08,840.33,300.14,871.60,269.61,871.60,0.7470
2,8,3,889.37,135.72,905.64,163.28,897.51,163.28,0.7333
2,9,3,87.44,820.94,117.33,877.48,102.39,877.48,0.7396
2,10,3,839.06,89.47,852.70,109.93,845.88,109.93,0.6855
2,11,3,160.96,855.21,229.38,889.92,195.17,889.92,0.7271
2,12,3,619.97,707.34,648.19,759.66,634.08,759.66,0.7256
2,13,3,838.51,603.39,858.00,641.36,848.26,641.36,0.7382
2,14,3,0.05,876.25,34.37,908.03,17.21,908.03,0.7151
2,15,3,835.77,135.72,849.58,161.65,842.68,161.65,0.3680
2,16,3,694.45,97.62,711.64,124.55,703.04,124.55,0.7465
2,17,3,181.48,742.84,236.31,769.86,208.90,769.86,0.6995
2,18,3,29.84,800.62,66.33,842.75,48.08,842.75,0.7002
2,19,3,677.76,289.77,696.74,321.88,687.25,321.88,0.6839
2,20,3,187.98,694.07,245.01,719.02,216.49,719.02,0.6715
2,21,3,174.85,717.91,233.39,745.08,204.12,745.08,0.6702
2,22,3,861.98,93.21,878.56,118.34,870.27,118.34,0.7036
2,23,3,245.79,545.29,290.00,568.61,267.89,568.61,0.6690
2,24,3,198.59,662.94,252.37,687.62,225.48,687.62,0.6530
2,25,3,261.58,486.87,311.13,508.46,286.35,508.46,0.6292
2,26,3,306.19,195.21,349.62,246.77,327.91,246.77,0.6166
2,27,3,328.87,178.99,371.11,196.66,349.99,196.66,0.5875
2,28,3,326.63,286.81,372.94,309.23,349.79,309.23,0.6193
2,29,3,209.72,629.78,265.68,653.50,237.70,653.50,0.5896
2,30,3,0.04,812.28,22.69,853.85,11.36,853.85,0.5981
2,31,3,338.72,266.58,377.12,285.39,357.92,285.39,0.5564
2,32,3,273.93,445.52,325.41,468.36,299.67,468.36,0.5137
2,33,3,725.49,134.18,742.75,164.66,734.12,164.66,0.6133
2,34,3,280.42,427.16,325.25,447.43,302.84,447.43,0.5003
3,1,3,78.73,935.56,112.74,988.76,95.73,988.76,0.7931
3,2,3,107.51,877.73,163.82,913.37,135.66,913.37,0.7879
3,3,3,500.14,866.80,528.74,921.37,514.44,921.37,0.7684
3,4,3,35.35,933.35,72.71,992.44,54.03,992.44,0.7630
3,5,3,0.05,947.75,26.19,1005.52,13.12,1005.52,0.7563
3,6,3,625.31,490.33,645.66,528.80,635.48,528.80,0.6187
3,7,3,239.39,840.27,300.03,871.79,269.71,871.79,0.7558
3,8,3,889.29,133.77,905.68,162.70,897.49,162.70,0.7170
3,9,3,86.96,820.56,118.06,878.57,102.51,878.57,0.7355
3,10,3,838.79,86.17,852.40,107.61,845.59,107.61,0.6997
3,11,3,160.56,855.86,229.54,890.06,195.05,890.06,0.7308
3,12,3,619.79,711.79,648.01,764.90,633.90,764.90,0.7216
3,13,3,839.10,600.01,858.52,637.17,848.81,637.17,0.7356
3,14,3,0.07,876.72,34.30,908.13,17.19,908.13,0.7216
3,15,3,835.76,135.30,849.64,160.27,842.70,160.27,0.7101
3,16,3,694.14,100.62,710.99,126.66,702.57,126.66,0.7658
3,17,3,181.49,742.58,236.46,770.11,208.98,770.11,0.6787
3,18,3,29.55,799.88,66.12,842.99,47.83,842.99,0.7032
3,19,3,677.18,292.03,696.52,323.85,686.85,323.85,0.6583
3,20,3,188.37,691.60,245.64,719.12,217.01,719.12,0.6518
3,21,3,175.16,717.94,233.73,745.11,204.45,745.11,0.6656
3,22,3,861.68,91.28,878.27,115.90,869.98,115.90,0.7260
3,23,3,245.71,545.23,292.60,568.42,269.16,568.42,0.6546
3,24,3,199.18,662.47,253.02,687.58,226.10,687.58,0.6892
3,25,3,261.75,487.39,310.49,509.12,286.12,509.12,0.6533
3,26,3,305.03,193.96,350.15,247.29,327.59,247.29,0.5740
3,27,3,330.11,178.98,371.63,196.77,350.87,196.77,0.5875
3,28,3,326.84,286.69,372.87,309.10,349.86,309.10,0.6007
