frame,global_id,cam,local_id,cls_id,x1,y1,x2,y2,cx,cy_bottom,score
6,1,A,1,3,890.83,493.82,1038.76,578.15,964.79,578.15,0.87
6,1,B,6,3,707.23,368.09,772.72,405.45,739.97,405.45,0.8426
6,2,A,2,3,408.52,358.51,477.53,408.87,443.03,408.87,0.8673
6,2,B,3,3,75.25,379.13,164.81,438.0,120.03,438.0,0.8461
6,4,A,4,3,503.11,312.74,544.3,343.27,523.71,343.27,0.7852
6,4,B,8,3,479.03,333.46,515.69,363.61,497.36,363.61,0.7791
6,5,A,5,3,697.81,348.46,747.37,389.29,722.59,389.29,0.7997
6,5,B,10,3,601.4,323.07,635.01,347.09,618.21,347.09,0.7841
6,1,A,6,3,164.64,369.62,259.34,427.73,211.99,427.73,0.806
6,1,B,2,3,265.93,401.26,339.94,464.94,302.93,464.94,0.8597
6,7,A,7,3,200.17,317.69,256.7,352.91,228.44,352.91,0.8203
6,7,B,23,3,275.75,294.97,300.13,315.26,287.94,315.26,0.5213
6,8,A,8,3,31.3,351.97,137.94,401.07,84.62,401.07,0.8427
6,8,B,7,3,178.12,342.48,230.27,379.84,204.2,379.84,0.8095
6,9,A,9,3,655.0,307.39,683.82,331.74,669.41,331.74,0.7787
6,9,B,14,3,414.32,319.92,446.57,347.82,430.45,347.82,0.7859
6,10,A,10,3,597.86,318.91,632.65,348.36,615.25,348.36,0.7859
6,10,B,17,3,250.38,311.29,287.6,334.72,268.99,334.72,0.7862
6,13,A,13,3,614.49,280.11,638.76,301.32,626.63,301.32,0.7286
6,13,B,11,3,526.68,296.13,550.08,316.01,538.38,316.01,0.7617
6,14,A,14,3,662.85,274.27,681.08,288.17,671.97,288.17,0.6873
6,14,B,15,3,549.92,287.48,568.94,301.62,559.43,301.62,0.7154
6,15,A,15,3,460.47,255.89,504.41,289.74,482.44,289.74,0.6171
6,15,B,25,3,496.91,265.43,508.31,274.98,502.61,274.98,0.4475
6,18,A,18,3,640.4,250.64,653.6,261.48,647.0,261.48,0.6207
6,18,B,19,3,460.37,269.55,474.34,282.29,467.36,282.29,0.6349
7,1,A,1,3,890.26,491.35,1036.77,575.68,963.52,575.68,0.8843
7,1,B,6,3,706.16,367.46,771.29,404.83,738.72,404.83,0.8482
7,2,A,2,3,407.12,359.45,477.04,410.94,442.08,410.94,0.871
7,2,B,3,3,74.71,381.38,164.68,439.2,119.69,439.2,0.8509
7,4,A,4,3,503.64,313.44,544.96,343.94,524.3,343.94,0.7857
7,4,B,8,3,480.15,334.11,517.7,364.57,498.92,364.57,0.7858
7,5,A,5,3,699.12,348.05,748.44,388.36,723.78,388.36,0.799
7,5,B,10,3,602.37,322.91,635.45,346.82,618.91,346.82,0.7894
7,1,A,6,3,160.17,370.99,260.55,429.97,210.36,429.97,0.7845
7,1,B,2,3,264.84,403.14,339.24,467.24,302.04,467.24,0.8697
7,7,A,7,3,200.49,317.79,256.14,353.32,228.32,353.32,0.8225
7,7,B,23,3,276.57,294.78,301.31,315.59,288.94,315.59,0.5056
7,8,A,8,3,32.16,352.77,137.56,401.82,84.86,401.82,0.8569
7,8,B,7,3,178.29,342.83,230.68,380.33,204.49,380.33,0.8147
7,9,A,9,3,656.31,306.78,685.28,331.08,670.8,331.08,0.7942
7,9,B,14,3,414.62,320.3,447.3,348.49,430.96,348.49,0.7964
7,10,A,10,3,599.41,317.85,633.29,346.9,616.35,346.9,0.7836
7,10,B,17,3,250.98,311.28,288.71,334.82,269.84,334.82,0.7961
7,13,A,13,3,616.31,280.02,640.15,300.74,628.23,300.74,0.7577
7,13,B,11,3,527.68,295.76,551.45,315.59,539.56,315.59,0.7685
7,14,A,14,3,664.77,273.68,682.41,287.56,673.59,287.56,0.7082
7,14,B,15,3,550.07,287.3,569.81,301.45,559.94,301.45,0.7234
7,15,A,15,3,462.1,259.89,501.74,289.63,481.92,289.63,0.5607
7,15,B,25,3,497.92,265.08,508.58,274.45,503.25,274.45,0.2931
7,18,A,18,3,642.05,249.77,656.07,261.41,649.06,261.41,0.6063
7,18,B,19,3,460.88,269.99,475.55,282.67,468.21,282.67,0.6108
8,1,A,1,3,889.94,489.17,1034.66,573.1,962.3,573.1,0.8854
8,1,B,6,3,705.8,367.06,770.05,403.95,737.93,403.95,0.849
8,2,A,2,3,406.05,360.71,476.9,412.59,441.48,412.59,0.8741
8,2,B,3,3,74.35,382.9,164.82,440.62,119.58,440.62,0.8447
8,3,A,3,3,152.16,411.34,280.76,488.94,216.46,488.94,0.88
8,3,B,5,3,343.3,444.81,430.17,530.17,386.74,530.17,0.8761
8,4,A,4,3,504.2,314.74,546.03,344.92,525.11,344.92,0.7954
8,4,B,8,3,481.59,334.87,519.83,365.72,500.71,365.72,0.8142
8,5,A,5,3,699.66,347.89,748.94,387.67,724.3,387.67,0.8132
8,5,B,10,3,603.09,323.02,635.47,346.67,619.28,346.67,0.7859
8,1,A,6,3,156.95,372.22,257.75,432.41,207.35,432.41,0.7991
8,1,B,2,3,263.74,404.53,339.41,469.29,301.58,469.29,0.8676
8,7,A,7,3,200.72,318.21,255.1,353.88,227.91,353.88,0.8282
8,7,B,23,3,275.75,295.38,301.89,315.61,288.82,315.61,0.4587
8,8,A,8,3,33.04,352.96,137.07,402.47,85.06,402.47,0.8455
8,8,B,7,3,179.22,343.31,230.63,380.81,204.92,380.81,0.7985
8,9,A,9,3,658.32,306.32,687.78,330.64,673.05,330.64,0.8023
8,9,B,14,3,415.11,320.63,448.33,349.33,431.72,349.33,0.7972
8,10,A,10,3,601.29,316.73,634.42,345.61,617.85,345.61,0.7776
8,10,B,17,3,252.1,311.63,288.94,335.33,270.52,335.33,0.7321
8,11,A,11,3,460.0,300.57,500.91,329.49,480.45,329.49,0.7846
8,11,B,20,3,357.24,282.89,391.85,306.46,374.54,306.46,0.536
8,13,A,13,3,618.39,279.64,642.3,300.42,630.35,300.42,0.7653
8,13,B,11,3,528.31,295.6,552.05,315.18,540.18,315.18,0.76
8,14,A,14,3,665.95,273.27,683.28,287.05,674.61,287.05,0.6894
8,14,B,15,3,550.77,287.48,570.44,301.42,560.6,301.42,0.7464
8,15,A,15,3,462.47,257.0,500.99,289.43,481.73,289.43,0.6059
8,15,B,25,3,497.96,264.53,508.95,274.42,503.45,274.42,0.3241
8,16,A,16,3,594.54,253.74,612.74,269.51,603.64,269.51,0.5809
8,16,B,24,3,449.76,265.22,462.99,277.89,456.37,277.89,0.5533
8,18,A,18,3,643.4,249.27,657.6,261.01,650.5,261.01,0.4989
8,18,B,19,3,461.19,270.89,476.57,283.12,468.88,283.12,0.5539
8,11,A,20,3,665.59,247.25,677.19,258.36,671.39,258.36,0.4482
8,11,B,18,3,536.38,274.66,551.79,287.03,544.08,287.03,0.6855
8,19,A,23,3,623.07,241.33,633.83,249.61,628.45,249.61,0.5941
8,19,B,22,3,516.84,265.24,530.65,275.5,523.75,275.5,0.4698
9,1,A,1,3,890.13,486.78,1032.89,570.21,961.51,570.21,0.874
9,1,B,6,3,705.86,365.87,768.86,402.9,737.36,402.9,0.8503
9,2,A,2,3,405.12,362.15,476.38,414.48,440.75,414.48,0.8666
9,2,B,3,3,74.34,383.32,164.65,441.04,119.49,441.04,0.8369
9,3,A,3,3,145.79,413.82,277.37,493.0,211.58,493.0,0.8977
9,3,B,5,3,342.84,447.51,430.35,534.42,386.59,534.42,0.8673
9,4,A,4,3,505.08,315.29,547.02,345.43,526.05,345.43,0.7832
9,4,B,8,3,482.72,335.38,521.33,366.12,502.02,366.12,0.8185
9,5,A,5,3,699.84,347.3,749.57,386.69,724.71,386.69,0.8134
9,5,B,10,3,603.54,322.36,635.59,345.98,619.56,345.98,0.7806
9,1,A,6,3,153.02,373.53,253.84,435.1,203.43,435.1,0.7838
9,1,B,2,3,262.01,405.86,339.32,471.16,300.66,471.16,0.8627
9,7,A,7,3,200.95,318.45,254.76,354.21,227.85,354.21,0.8215
9,7,B,23,3,276.05,295.07,303.6,315.86,289.82,315.86,0.5192
9,8,A,8,3,35.2,353.51,137.41,403.3,86.3,403.3,0.868
9,8,B,7,3,179.97,343.21,230.77,381.1,205.37,381.1,0.807
9,9,A,9,3,659.95,305.41,689.76,329.99,674.85,329.99,0.7989
9,9,B,14,3,415.42,320.23,449.19,349.83,432.31,349.83,0.8079
