frame,a_id,b_id,cls_id,cost,confirmed,global_id,same_direction,streak
1,1,2,3,0.26208025217056274,0,,0,1
1,2,16,3,0.32106074690818787,0,,0,1
1,3,6,3,0.19184942543506622,0,,0,1
1,4,8,3,0.25627171993255615,0,,0,1
1,5,5,3,0.30212122201919556,0,,0,1
1,6,12,3,0.3089301884174347,0,,0,1
1,7,10,3,0.31135663390159607,0,,0,1
1,8,13,3,0.3419228196144104,0,,0,1
1,9,14,3,0.21837231516838074,0,,0,1
1,10,1,3,0.2802763879299164,0,,0,1
1,11,18,3,0.2391371726989746,0,,0,1
1,12,4,3,0.2970167100429535,0,,0,1
1,13,11,3,0.19544467329978943,0,,0,1
1,14,15,3,0.31360703706741333,0,,0,1
1,15,21,3,0.2631620466709137,0,,0,1
1,16,20,3,0.3136330842971802,0,,0,1
1,17,9,3,0.29655134677886963,0,,0,1
1,18,19,3,0.26439201831817627,0,,0,1
1,19,22,3,0.23577958345413208,0,,0,1
1,20,23,3,0.2633920907974243,0,,0,1
2,1,2,3,0.11329659819602966,0,,0,2
2,2,16,3,0.29817619919776917,0,,0,2
2,3,6,3,0.16248951852321625,0,,0,2
2,4,8,3,0.1069115623831749,0,,0,2
2,5,5,3,0.2735181748867035,0,,0,2
2,6,12,3,0.15884391963481903,0,,0,2
2,7,10,3,0.16338321566581726,0,,0,2
2,8,13,3,0.19078244268894196,0,,0,2
2,9,14,3,0.06866586208343506,0,,0,2
2,10,1,3,0.21006006002426147,0,,0,2
2,11,18,3,0.0909741222858429,0,,0,2
2,12,4,3,0.14831304550170898,0,,0,2
2,13,11,3,0.046904128044843674,0,,0,2
2,14,15,3,0.16429105401039124,0,,0,2
2,15,21,3,0.11355429142713547,0,,0,2
2,16,20,3,0.17484185099601746,0,,0,2
2,17,9,3,0.14460904896259308,0,,0,2
2,18,19,3,0.11845069378614426,0,,0,2
2,19,22,3,0.19634830951690674,0,,0,2
2,20,23,3,0.23669368028640747,0,,0,2
3,1,2,3,0.12914533913135529,1,1,0,3
3,2,16,3,0.3163028061389923,1,2,0,3
3,3,6,3,0.1866365522146225,1,3,0,3
3,4,8,3,0.11544983088970184,1,4,0,3
3,5,5,3,0.2795218825340271,1,5,0,3
3,6,12,3,0.18342454731464386,1,6,0,3
3,7,10,3,0.17197315394878387,1,7,0,3
3,8,13,3,0.22866052389144897,1,8,0,3
3,9,14,3,0.0892704576253891,1,9,0,3
3,10,1,3,0.09018241614103317,1,10,0,3
3,11,18,3,0.10931791365146637,1,11,0,3
3,12,4,3,0.15140266716480255,1,12,0,3
3,13,11,3,0.057327188551425934,1,13,0,3
3,14,15,3,0.19925610721111298,1,14,0,3
3,15,21,3,0.12875807285308838,1,15,0,3
3,16,20,3,0.20790791511535645,1,16,0,3
3,17,9,3,0.14186014235019684,1,17,0,3
3,18,19,3,0.1318744570016861,1,18,0,3
3,19,22,3,0.10437663644552231,1,19,0,3
3,20,23,3,0.259413480758667,1,20,0,3
4,1,6,3,0.3119659125804901,0,,1,1
4,2,3,3,0.30064862966537476,0,,1,1
4,3,1,3,0.3453911542892456,0,,1,1
4,4,8,3,0.12443516403436661,1,4,1,4
4,5,10,3,0.25880753993988037,0,,1,1
4,6,2,3,0.30337899923324585,0,,1,1
4,7,23,3,0.25667038559913635,0,,1,1
4,8,7,3,0.26484355330467224,0,,1,1
4,9,14,3,0.15705165266990662,1,9,1,4
4,10,17,3,0.31932374835014343,0,,1,1
4,11,18,3,0.136961430311203,1,11,1,4
4,12,5,3,0.30371350049972534,0,,1,1
4,13,11,3,0.08256935328245163,1,13,1,4
4,14,15,3,0.11603942513465881,1,14,1,4
4,15,25,3,0.3395911455154419,0,,1,1
4,16,20,3,0.210341677069664,1,16,1,4
4,17,9,3,0.2531934976577759,1,17,1,4
4,18,19,3,0.27738362550735474,1,18,1,4
4,20,22,3,0.4341293275356293,0,,1,1
5,1,6,3,0.17599959671497345,0,,1,2
5,2,3,3,0.16646108031272888,0,,1,2
5,3,1,3,0.17719951272010803,0,,1,2
5,4,8,3,0.14347916841506958,1,4,1,5
5,5,10,3,0.12112908065319061,0,,1,2
5,6,2,3,0.15413670241832733,0,,1,2
5,7,23,3,0.13702823221683502,0,,1,2
5,8,7,3,0.13920848071575165,0,,1,2
5,9,14,3,0.16753306984901428,1,9,1,5
5,10,17,3,0.17434215545654297,0,,1,2
5,11,18,3,0.14035172760486603,1,11,1,5
5,12,5,3,0.17734365165233612,0,,1,2
5,13,11,3,0.10237782448530197,1,13,1,5
5,14,15,3,0.08245501667261124,1,14,1,5
5,15,25,3,0.17052723467350006,0,,1,2
5,16,20,3,0.22583985328674316,1,16,1,5
5,18,19,3,0.22591112554073334,1,18,1,5
5,20,22,3,0.25702014565467834,0,,1,2
6,1,6,3,0.16859470307826996,1,1,1,3
6,2,3,3,0.14950187504291534,1,2,1,3
6,3,5,3,0.292784184217453,0,,1,1
6,4,8,3,0.13834011554718018,1,4,1,6
6,5,10,3,0.13607120513916016,1,5,1,3
6,6,2,3,0.15113241970539093,1,1,1,3
6,7,23,3,0.18874602019786835,1,7,1,3
6,8,7,3,0.13832306861877441,1,8,1,3
6,9,14,3,0.16360390186309814,1,9,1,6
6,10,17,3,0.17235898971557617,1,10,1,3
6,11,20,3,0.23506198823451996,0,,1,1
6,13,11,3,0.10790600627660751,1,13,1,6
6,14,15,3,0.07179536670446396,1,14,1,6
6,15,25,3,0.23574550449848175,1,15,1,3
6,16,24,3,0.2600085139274597,0,,1,1
6,18,19,3,0.14182183146476746,1,18,1,6
6,20,18,3,0.24409492313861847,0,,1,1
6,23,22,3,0.3144375681877136,0,,1,1
7,1,6,3,0.16534265875816345,1,1,1,4
