frame_id,track_id_a,track_id_b,score_total,score_graph,score_temp,score_center,num_valid_a,num_valid_b
5,11,14,0.64783,0.653201,0.63,0.618081,11,15
5,15,20,0.633348,0.639573,0.63,0.574971,11,15
6,2,1,0.554848,0.524945,0.7,0.657157,11,15
6,4,8,0.673183,0.665544,0.7,0.713481,11,15
6,5,6,0.660407,0.642221,0.7,0.789807,11,15
6,6,7,0.662315,0.690546,0.7,0.324612,11,15
6,7,3,0.661543,0.692006,0.7,0.300181,11,15
6,9,10,0.763893,0.755639,0.7,0.93559,11,15
6,10,9,0.752087,0.743877,0.7,0.907045,11,15
6,11,14,0.636277,0.629323,0.7,0.618711,11,15
6,15,20,0.597003,0.584688,0.7,0.579495,11,15
7,2,1,0.57037,0.534512,0.77,0.657772,11,15
7,4,8,0.678394,0.662241,0.77,0.71545,11,15
7,5,6,0.670881,0.645612,0.77,0.789816,11,15
7,6,7,0.667202,0.687093,0.77,0.324039,11,15
7,7,3,0.670355,0.693362,0.77,0.300014,11,15
7,9,10,0.774698,0.75952,0.77,0.934776,11,15
7,10,9,0.755278,0.73802,0.77,0.909611,11,15
7,11,14,0.643719,0.628921,0.77,0.619207,11,15
7,15,20,0.627272,0.612484,0.77,0.579959,11,15
8,2,1,0.573724,0.529024,0.84,0.658627,11,15
8,4,8,0.672771,0.645513,0.84,0.717844,11,15
8,5,6,0.682136,0.649943,0.84,0.790069,11,15
8,6,7,0.674285,0.686404,0.84,0.322946,11,15
8,7,3,0.676055,0.690879,0.84,0.299794,11,15
8,9,10,0.783322,0.760849,0.84,0.932534,11,15
8,10,9,0.758553,0.73238,0.84,0.911023,11,15
8,11,14,0.652095,0.629633,0.84,0.620107,11,15
8,15,20,0.602787,0.572587,0.84,0.581056,11,15
9,2,1,0.569462,0.514115,0.91,0.659624,11,16
9,4,8,0.676421,0.640269,0.91,0.719938,11,16
9,5,6,0.690723,0.65099,0.91,0.790216,11,16
9,6,7,0.681724,0.686192,0.91,0.32149,11,16
9,7,3,0.6843,0.691523,0.91,0.299737,11,16
9,9,10,0.787626,0.756798,0.91,0.930732,11,16
9,10,9,0.759224,0.723672,0.91,0.910933,11,16
9,11,14,0.658111,0.627459,0.91,0.620707,11,16
9,15,20,0.610965,0.572881,0.91,0.5837,11,16
10,2,1,0.670989,0.629893,0.98,0.660438,12,16
10,4,8,0.682208,0.637756,0.98,0.7211,12,16
10,5,6,0.708911,0.663857,0.98,0.790755,12,16
10,6,7,0.689513,0.686338,0.98,0.320781,12,16
10,7,3,0.696625,0.697176,0.98,0.300001,12,16
10,9,10,0.803403,0.76684,0.98,0.929712,12,16
10,10,9,0.777993,0.737187,0.98,0.912179,12,16
10,11,14,0.658983,0.618935,0.98,0.621265,12,16
10,15,20,0.582902,0.528084,0.98,0.589669,12,16
11,2,1,0.671949,0.628253,1.0,0.661442,12,16
11,4,8,0.673716,0.6244,1.0,0.722524,12,16
11,5,6,0.757236,0.720838,1.0,0.790571,12,16
11,6,7,0.696469,0.692315,1.0,0.319627,12,16
11,7,3,0.702908,0.702226,1.0,0.29982,12,16
11,9,10,0.801842,0.762246,1.0,0.929089,12,16
11,10,9,0.780721,0.737642,1.0,0.914075,12,16
11,11,14,0.653639,0.609515,1.0,0.622206,12,16
11,15,20,0.574599,0.51486,1.0,0.592103,12,16
12,2,1,0.676582,0.633889,1.0,0.662317,12,16
12,4,8,0.676135,0.627187,1.0,0.724566,12,16
12,5,6,0.757593,0.721271,1.0,0.790653,12,16
12,6,7,0.701416,0.698526,1.0,0.318608,12,16
12,7,3,0.706673,0.706851,1.0,0.300075,12,16
12,9,10,0.805285,0.766662,1.0,0.927446,12,16
12,10,9,0.785038,0.742805,1.0,0.91579,12,16
12,11,14,0.64796,0.602432,1.0,0.622895,12,16
12,27,20,0.562333,0.643863,0.0,0.51328,12,16
13,2,1,0.689996,0.650371,1.0,0.663198,12,16
13,4,8,0.682894,0.635326,1.0,0.726673,12,16
13,5,6,0.751765,0.71408,1.0,0.790571,12,16
13,6,7,0.696616,0.692702,1.0,0.317563,12,16
13,7,3,0.708176,0.708724,1.0,0.299919,12,16
13,9,10,0.808451,0.770776,1.0,0.925383,12,16
13,10,9,0.796103,0.75633,1.0,0.91723,12,16
13,11,14,0.640854,0.593516,1.0,0.624298,12,16
13,15,17,0.590439,0.676571,0.0,0.533585,12,16
13,27,20,0.622853,0.661253,0.42,0.51418,12,16
14,2,1,0.669441,0.624867,1.0,0.664359,13,16
14,3,2,0.55676,0.652493,0.0,0.356264,13,16
14,4,8,0.661179,0.608354,1.0,0.728189,13,16
14,5,6,0.677163,0.622017,1.0,0.789725,13,16
14,6,7,0.703137,0.70086,1.0,0.316507,13,16
14,7,3,0.678823,0.672481,1.0,0.299771,13,16
14,9,10,0.742347,0.689269,1.0,0.923931,13,16
14,10,9,0.724106,0.667103,1.0,0.92024,13,16
14,11,14,0.6218,0.569848,1.0,0.625639,13,16
14,15,17,0.62426,0.660977,0.42,0.534563,13,16
14,27,20,0.561581,0.575789,0.49,0.516575,13,16
15,2,1,0.729269,0.698674,1.0,0.665286,13,17
15,3,2,0.550125,0.587326,0.42,0.35323,13,17
15,4,8,0.714048,0.673507,1.0,0.729704,13,17
15,5,6,0.684644,0.631301,1.0,0.789277,13,17
15,6,7,0.68187,0.674672,1.0,0.315693,13,17
15,7,3,0.699063,0.69748,1.0,0.29979,13,17
15,9,10,0.777383,0.732705,1.0,0.922314,13,17
15,10,9,0.767957,0.720961,1.0,0.923329,13,17
15,11,14,0.669277,0.628365,1.0,0.626905,13,17
15,15,17,0.660253,0.695853,0.49,0.534933,13,17
15,25,26,0.585951,0.665421,0.0,0.590322,13,17
15,27,20,0.601707,0.615584,0.56,0.518829,13,17
16,2,1,0.732984,0.703158,1.0,0.666339,13,17
16,4,8,0.715806,0.67545,1.0,0.732014,13,17
16,5,6,0.694363,0.643393,1.0,0.788397,13,17
16,6,7,0.682159,0.675119,1.0,0.314779,13,17
16,7,3,0.700707,0.699464,1.0,0.30026,13,17
16,9,10,0.778229,0.733923,1.0,0.92057,13,17
16,10,9,0.76713,0.719737,1.0,0.925391,13,17
16,11,14,0.683044,0.645253,1.0,0.628084,13,17
16,15,17,0.65951,0.685202,0.56,0.536835,13,17
16,25,26,0.617693,0.645713,0.42,0.606955,13,17
16,27,20,0.612683,0.619433,0.63,0.52048,13,17
17,2,1,0.723753,0.691781,1.0,0.666079,13,17
17,4,8,0.718914,0.679114,1.0,0.733786,13,17
17,5,6,0.699574,0.649799,1.0,0.788711,13,17
17,6,7,0.682966,0.67619,1.0,0.314033,13,17
17,7,3,0.701505,0.700398,1.0,0.300783,13,17
17,9,10,0.764683,0.717385,1.0,0.918602,13,17
17,10,9,0.766585,0.718888,1.0,0.927169,13,17
17,11,14,0.719749,0.690483,1.0,0.629171,13,17
17,15,20,0.588368,0.66742,0.0,0.600318,13,17
17,25,26,0.589341,0.599609,0.49,0.622516,13,17
18,2,1,0.727302,0.696087,1.0,0.666878,13,17
18,4,8,0.722953,0.683876,1.0,0.736084,13,17
18,5,6,0.706666,0.658619,1.0,0.788095,13,17
18,6,7,0.682724,0.675976,1.0,0.313166,13,17
18,7,3,0.703071,0.702306,1.0,0.301053,13,17
18,9,10,0.798052,0.75878,1.0,0.916798,13,17
18,10,9,0.769704,0.722533,1.0,0.929272,13,17
18,11,14,0.721016,0.691941,1.0,0.630259,13,17
18,15,20,0.629325,0.660483,0.42,0.602877,13,17
18,25,5,0.60294,0.690195,0.0,0.551977,13,17
19,2,1,0.729276,0.698367,1.0,0.668475,13,17
19,4,8,0.710475,0.668261,1.0,0.738141,13,17
19,5,6,0.665168,0.607391,1.0,0.787798,13,17
19,6,7,0.680392,0.673223,1.0,0.311888,13,17
19,7,3,0.702228,0.701241,1.0,0.301289,13,17
19,9,10,0.702472,0.640915,1.0,0.914831,13,17
19,10,9,0.787519,0.744198,1.0,0.932704,13,17
19,11,14,0.722404,0.693554,1.0,0.631278,13,17
19,15,20,0.646623,0.672063,0.49,0.605318,13,17
19,25,26,0.674488,0.730511,0.28,0.651928,13,17
20,2,1,0.732814,0.702656,1.0,0.669304,13,17
20,4,8,0.728765,0.690668,1.0,0.74001,13,17
20,5,6,0.669004,0.612255,1.0,0.786531,13,17
20,6,7,0.668357,0.658504,1.0,0.310409,13,17
20,7,3,0.696043,0.693572,1.0,0.301584,13,17
20,9,10,0.698038,0.635614,1.0,0.913065,13,17
20,10,9,0.783747,0.739659,1.0,0.931497,13,17
20,11,14,0.723083,0.69427,1.0,0.632528,13,17
20,15,20,0.618006,0.626973,0.56,0.607306,13,17
20,25,26,0.723805,0.74234,0.63,0.665685,13,17
21,2,1,0.758203,0.73398,1.0,0.669665,14,18
21,4,8,0.726979,0.688286,1.0,0.741778,14,18
21,5,6,0.66573,0.608144,1.0,0.787204,14,18
21,6,7,0.655022,0.642171,1.0,0.309013,14,18
21,7,3,0.691613,0.688078,1.0,0.301814,14,18
21,9,10,0.693088,0.629624,1.0,0.911812,14,18
21,10,9,0.766698,0.718878,1.0,0.928676,14,18
21,11,14,0.707421,0.674853,1.0,0.633261,14,18
21,15,20,0.617834,0.616925,0.63,0.610252,14,18
21,25,26,0.757073,0.772508,0.7,0.679634,14,18
21,27,23,0.603003,0.697656,0.0,0.477259,14,18
22,2,1,0.759786,0.735879,1.0,0.670233,14,18
22,4,8,0.712289,0.669898,1.0,0.744247,14,18
22,5,6,0.66729,0.609982,1.0,0.788108,14,18
22,6,7,0.646107,0.631313,1.0,0.307449,14,18
22,7,3,0.68666,0.68193,1.0,0.30212,14,18
22,9,10,0.693908,0.630776,1.0,0.910393,14,18
22,10,9,0.760169,0.71097,1.0,0.927096,14,18
22,11,14,0.714846,0.683899,1.0,0.634515,14,18
22,15,20,0.613978,0.60235,0.7,0.612943,14,18
22,25,26,0.776999,0.786304,0.77,0.692501,14,18
22,27,23,0.650549,0.69898,0.42,0.478584,14,18
23,2,1,0.747616,0.720817,1.0,0.670529,15,19
23,4,8,0.681853,0.632138,1.0,0.745929,15,19
23,5,6,0.68554,0.632442,1.0,0.788933,15,19
23,6,7,0.665528,0.655436,1.0,0.306077,15,19
23,7,3,0.693954,0.690919,1.0,0.302329,15,19
23,9,10,0.678686,0.612168,1.0,0.90844,15,19
23,10,9,0.723919,0.666466,1.0,0.924352,15,19
23,11,14,0.698667,0.663811,1.0,0.635574,15,19
23,15,20,0.69955,0.698312,0.77,0.614867,15,19
23,25,26,0.801637,0.805957,0.84,0.704977,15,19
23,27,23,0.681879,0.728009,0.49,0.479832,15,19
23,28,27,0.59149,0.66579,0.0,0.655825,15,19
24,2,1,0.731382,0.700695,1.0,0.671245,14,18
24,4,8,0.689655,0.641615,1.0,0.747545,14,18
24,5,6,0.700325,0.650688,1.0,0.789097,14,18
24,6,7,0.663095,0.652565,1.0,0.304737,14,18
24,7,3,0.689538,0.685461,1.0,0.30236,14,18
24,9,10,0.690454,0.626888,1.0,0.906566,14,18
24,10,9,0.740287,0.686842,1.0,0.922738,14,18
24,11,14,0.730442,0.703003,1.0,0.636137,14,18
24,15,20,0.745439,0.745045,0.84,0.618928,14,18
24,25,26,0.781012,0.769774,0.91,0.716727,14,18
24,27,23,0.594729,0.610603,0.56,0.482008,14,18
24,28,27,0.617359,0.639385,0.42,0.666811,14,18
25,2,1,0.719925,0.686485,1.0,0.671825,13,18
25,4,8,0.702873,0.657757,1.0,0.749418,13,18
25,5,6,0.700809,0.651237,1.0,0.789588,13,18
25,7,3,0.698229,0.696197,1.0,0.302347,13,18
25,9,10,0.727079,0.672271,1.0,0.905107,13,18
25,10,9,0.752396,0.702118,1.0,0.919509,13,18
25,11,14,0.728862,0.700949,1.0,0.63717,13,18
25,15,20,0.694336,0.672144,0.91,0.621302,13,18
25,25,26,0.788679,0.768499,0.98,0.728879,13,18
25,27,23,0.609333,0.618976,0.63,0.483223,13,18
25,28,5,0.635959,0.714989,0.0,0.713797,13,18
26,2,1,0.718163,0.684306,1.0,0.671865,13,18
26,4,8,0.689521,0.641103,1.0,0.751049,13,18
26,5,6,0.702683,0.653628,1.0,0.788826,13,18
26,7,3,0.695027,0.692237,1.0,0.302394,13,18
26,9,10,0.717498,0.660699,1.0,0.902449,13,18
26,10,9,0.760939,0.712932,1.0,0.916858,13,18
26,11,14,0.732491,0.705345,1.0,0.638041,13,18
26,15,20,0.692713,0.660469,0.98,0.622565,13,18
26,25,26,0.792887,0.769797,1.0,0.740744,13,18
26,27,23,0.617998,0.619976,0.7,0.48482,13,18
26,28,5,0.676025,0.706773,0.42,0.718177,13,18
27,2,1,0.718986,0.685302,1.0,0.67207,13,18
27,4,8,0.746773,0.711658,1.0,0.752687,13,18
27,5,6,0.716374,0.670586,1.0,0.788347,13,18
27,7,3,0.68031,0.674073,1.0,0.302253,13,18
27,9,10,0.716102,0.659113,1.0,0.901057,13,18
27,10,9,0.761574,0.713942,1.0,0.914577,13,18
27,11,14,0.73696,0.710776,1.0,0.638939,13,18
27,15,20,0.608604,0.553688,1.0,0.624225,13,18
27,25,26,0.708167,0.664114,1.0,0.751259,13,18
27,27,23,0.617117,0.609156,0.77,0.486704,13,18
27,28,5,0.58044,0.578743,0.49,0.72241,13,18
28,2,1,0.71718,0.683005,1.0,0.672741,13,18
28,4,8,0.747449,0.712328,1.0,0.754352,13,18
28,5,6,0.722781,0.67851,1.0,0.78824,13,18
28,6,3,0.651377,0.778544,0.0,0.26335,13,18
28,7,7,0.6121,0.722733,0.0,0.337189,13,18
28,9,10,0.718913,0.662695,1.0,0.899942,13,18
28,10,9,0.748263,0.697641,1.0,0.913166,13,18
28,11,14,0.741424,0.716234,1.0,0.639504,13,18
28,15,20,0.634521,0.585434,1.0,0.626918,13,18
28,25,26,0.727797,0.687338,1.0,0.761594,13,18
28,27,23,0.633115,0.619186,0.84,0.488585,13,18
28,28,5,0.556066,0.538709,0.56,0.726291,13,18
29,2,1,0.707362,0.67086,1.0,0.672924,13,18
29,4,8,0.74864,0.713603,1.0,0.756343,13,18
29,5,6,0.727327,0.684237,1.0,0.787108,13,18
29,6,3,0.687833,0.766487,0.42,0.261475,13,18
29,7,7,0.658269,0.722503,0.42,0.337035,13,18
29,9,10,0.722068,0.666719,1.0,0.898653,13,18
29,10,9,0.742114,0.690329,1.0,0.910296,13,18
29,11,14,0.744804,0.720319,1.0,0.640425,13,18
29,15,20,0.677026,0.637552,1.0,0.630799,13,18
29,25,26,0.731065,0.690355,1.0,0.771916,13,18
29,27,23,0.641976,0.620442,0.91,0.490031,13,18
29,28,27,0.55149,0.593734,0.12,0.719436,13,18
30,2,1,0.708881,0.672761,1.0,0.672674,13,18
30,4,8,0.747849,0.712524,1.0,0.757367,13,18
30,5,6,0.738284,0.697762,1.0,0.787198,13,18
30,6,3,0.690581,0.760508,0.49,0.259715,13,18
30,7,7,0.668583,0.725669,0.49,0.337314,13,18
30,9,10,0.723753,0.66893,1.0,0.897341,13,18
30,10,9,0.743521,0.692264,1.0,0.908301,13,18
30,11,14,0.736746,0.710294,1.0,0.641156,13,18
30,15,20,0.691002,0.654515,1.0,0.633839,13,18
30,25,26,0.727831,0.685353,1.0,0.782121,13,18
30,27,23,0.642988,0.612087,0.98,0.490626,13,18
30,28,27,0.599624,0.592258,0.56,0.728844,13,18
31,2,1,0.702695,0.665162,1.0,0.672243,13,18
31,4,8,0.747015,0.711427,1.0,0.758048,13,18
31,5,6,0.754789,0.718073,1.0,0.787966,13,18
31,6,3,0.692213,0.753211,0.56,0.257364,13,18
31,7,7,0.677445,0.727114,0.56,0.336863,13,18
31,9,10,0.717645,0.661582,1.0,0.895348,13,18
31,10,9,0.748114,0.698154,1.0,0.906102,13,18
31,11,14,0.740801,0.715259,1.0,0.641584,13,18
31,15,20,0.672949,0.632047,1.0,0.635545,13,18
31,25,26,0.726765,0.683031,1.0,0.79229,13,18
31,27,23,0.638889,0.604179,1.0,0.491826,13,18
31,28,27,0.609748,0.594326,0.63,0.737872,13,18
32,2,1,0.696109,0.65702,1.0,0.672319,13,18
32,4,8,0.745012,0.708841,1.0,0.759181,13,18
32,5,6,0.759104,0.723373,1.0,0.788267,13,18
32,6,3,0.696089,0.748663,0.63,0.255244,13,18
32,7,7,0.6768,0.716776,0.63,0.336835,13,18
32,9,10,0.713648,0.656822,1.0,0.893558,13,18
32,10,9,0.733012,0.679687,1.0,0.904228,13,18
32,11,14,0.739224,0.713327,1.0,0.641435,13,18
32,15,20,0.68684,0.649081,1.0,0.6368,13,18
32,25,26,0.729853,0.685903,1.0,0.801821,13,18
32,27,23,0.639621,0.605006,1.0,0.492598,13,18
32,28,27,0.620069,0.596614,0.7,0.747128,13,18
33,2,1,0.707387,0.670966,1.0,0.672169,13,17
33,4,8,0.85295,0.842007,1.0,0.760763,13,17
33,5,6,0.739758,0.699357,1.0,0.789476,13,17
33,6,3,0.730896,0.782317,0.7,0.253149,13,17
33,7,7,0.693468,0.72782,0.7,0.336818,13,17
33,9,10,0.740149,0.689677,1.0,0.892334,13,17
33,10,9,0.796998,0.758866,1.0,0.902751,13,17
33,11,14,0.769641,0.75086,1.0,0.641806,13,17
33,15,20,0.683548,0.644911,1.0,0.637843,13,17
33,25,26,0.740148,0.697808,1.0,0.810032,13,17
33,27,23,0.669925,0.64234,1.0,0.493584,13,17
33,28,27,0.639689,0.610917,0.77,0.751027,13,17
34,2,1,0.704046,0.666883,1.0,0.671719,13,17
34,4,8,0.857139,0.847056,1.0,0.762036,13,17
34,5,6,0.743122,0.703466,1.0,0.789948,13,17
34,6,3,0.732644,0.775087,0.77,0.251568,13,17
34,7,7,0.701395,0.728074,0.77,0.336723,13,17
34,9,10,0.741654,0.69172,1.0,0.890476,13,17
34,10,9,0.805824,0.769932,1.0,0.901079,13,17
34,11,14,0.775275,0.757824,1.0,0.641762,13,17
34,15,20,0.687869,0.650084,1.0,0.639509,13,17
34,25,26,0.752197,0.711944,1.0,0.81759,13,17
34,27,23,0.683335,0.658849,1.0,0.494129,13,17
34,28,27,0.649341,0.613256,0.84,0.751408,13,17
35,2,1,0.702706,0.665271,1.0,0.671281,13,17
35,4,8,0.850969,0.839304,1.0,0.763351,13,17
35,5,6,0.743013,0.703247,1.0,0.790807,13,17
35,6,3,0.730047,0.7625,0.84,0.249892,13,17
35,7,7,0.703974,0.721704,0.84,0.336833,13,17
35,9,10,0.733365,0.681613,1.0,0.889132,13,17
35,10,9,0.821751,0.78981,1.0,0.89901,13,17
35,11,14,0.780159,0.763818,1.0,0.642152,13,17
35,15,20,0.677808,0.637404,1.0,0.642069,13,17
35,25,26,0.762985,0.724299,1.0,0.827411,13,17
35,27,23,0.680242,0.654877,1.0,0.495665,13,17
35,28,27,0.658686,0.615188,0.91,0.75207,13,17
36,2,1,0.695261,0.656101,1.0,0.671029,12,17
36,4,8,0.873823,0.867459,1.0,0.764092,12,17
36,5,6,0.758238,0.721973,1.0,0.791609,12,17
36,7,7,0.570848,0.547685,0.91,0.337229,12,17
36,9,10,0.755954,0.70959,1.0,0.888368,12,17
36,10,9,0.802213,0.765964,1.0,0.896102,12,17
36,11,14,0.754445,0.732037,1.0,0.642352,12,17
36,15,20,0.636679,0.586412,1.0,0.643998,12,17
36,25,26,0.748717,0.705842,1.0,0.835842,12,17
36,27,23,0.618057,0.577939,1.0,0.496967,12,17
36,28,27,0.652643,0.598187,0.98,0.751984,12,17
37,2,1,0.689329,0.648895,1.0,0.669797,11,17
37,4,8,0.826742,0.809261,1.0,0.764551,11,17
37,5,6,0.745699,0.706427,1.0,0.792203,11,17
37,7,7,0.578987,0.548148,0.98,0.337679,11,17
37,10,9,0.770581,0.727019,1.0,0.894831,11,17
37,11,14,0.75613,0.734129,1.0,0.642237,11,17
37,15,20,0.635141,0.584295,1.0,0.646206,11,17
37,25,26,0.784545,0.749262,1.0,0.844284,11,17
37,27,23,0.6296,0.592098,1.0,0.497977,11,17
37,28,27,0.684134,0.6343,1.0,0.752556,11,17
38,2,1,0.687235,0.646456,1.0,0.668299,11,17
38,4,8,0.816288,0.796342,1.0,0.764614,11,17
38,5,6,0.755259,0.718065,1.0,0.793915,11,17
38,7,7,0.582906,0.550219,1.0,0.338111,11,17
38,10,9,0.777548,0.735811,1.0,0.892937,11,17
38,11,14,0.760265,0.739284,1.0,0.64176,11,17
38,15,20,0.611082,0.554462,1.0,0.647377,11,17
38,25,26,0.787939,0.752684,1.0,0.852077,11,17
38,27,23,0.628395,0.590549,1.0,0.498579,11,17
38,28,27,0.689086,0.640296,1.0,0.753785,11,17
39,2,1,0.704971,0.668463,1.0,0.667285,11,16
39,4,8,0.825655,0.807883,1.0,0.764907,11,16
39,5,6,0.758141,0.721495,1.0,0.79523,11,16
39,7,7,0.58173,0.548784,1.0,0.337929,11,16
39,10,10,0.643332,0.701837,0.0,0.939055,11,16
39,11,14,0.730185,0.702197,1.0,0.641074,11,16
39,15,20,0.5964,0.535959,1.0,0.651094,11,16
39,25,26,0.791396,0.756114,1.0,0.860576,11,16
39,27,23,0.647356,0.613996,1.0,0.498314,11,16
39,28,27,0.689473,0.640663,1.0,0.754894,11,16
40,2,2,0.560796,0.649455,0.0,0.437461,12,16
40,4,8,0.836402,0.821081,1.0,0.765679,12,16
40,5,6,0.737879,0.696388,1.0,0.796037,12,16
40,7,7,0.58035,0.547156,1.0,0.337153,12,16
40,10,10,0.677275,0.686654,0.42,0.937407,12,16
40,11,14,0.72204,0.692202,1.0,0.640419,12,16
40,15,20,0.602332,0.543166,1.0,0.65231,12,16
40,25,26,0.757203,0.713136,1.0,0.868099,12,16
40,27,23,0.634543,0.598205,1.0,0.497953,12,16
40,28,1,0.709619,0.789519,0.0,0.880295,12,16
41,2,2,0.586833,0.624787,0.42,0.432963,11,16
41,4,8,0.815977,0.795814,1.0,0.766072,11,16
41,5,6,0.751632,0.713222,1.0,0.797592,11,16
41,7,7,0.58218,0.549517,1.0,0.336138,11,16
41,10,10,0.689859,0.692845,0.49,0.935443,11,16
41,11,14,0.732282,0.704937,1.0,0.639561,11,16
41,15,20,0.588793,0.526291,1.0,0.653845,11,16
41,25,26,0.790688,0.753747,1.0,0.875679,11,16
41,27,23,0.650424,0.617813,1.0,0.49804,11,16
41,28,1,0.710496,0.733411,0.42,0.879478,11,16
42,2,2,0.600388,0.63242,0.49,0.428563,11,16
42,4,8,0.808469,0.786641,1.0,0.765051,11,16
42,5,6,0.749537,0.710454,1.0,0.799415,11,16
42,7,7,0.573704,0.539113,1.0,0.335468,11,16
42,10,10,0.686655,0.67945,0.56,0.934355,11,16
42,11,14,0.729501,0.701556,1.0,0.63901,11,16
42,15,20,0.589753,0.527497,1.0,0.653642,11,16
42,25,26,0.781024,0.741191,1.0,0.881942,11,16
42,27,23,0.665805,0.636906,1.0,0.497076,11,16
42,28,1,0.68029,0.686652,0.49,0.87851,11,16
43,2,2,0.608409,0.633264,0.56,0.423683,11,15
43,4,8,0.783311,0.755555,1.0,0.765174,11,15
43,5,6,0.744755,0.704476,1.0,0.800147,11,15
43,7,7,0.772879,0.785206,1.0,0.334705,11,15
43,10,10,0.705691,0.693591,0.63,0.932592,11,15
43,11,14,0.783337,0.76814,1.0,0.638129,11,15
43,15,20,0.604448,0.545522,1.0,0.65492,11,15
43,25,26,0.804877,0.769909,1.0,0.889478,11,15
43,27,23,0.627203,0.588874,1.0,0.500632,11,15
43,28,1,0.655012,0.645961,0.56,0.87772,11,15
44,2,2,0.620691,0.639356,0.63,0.418956,11,14
44,4,8,0.785757,0.758556,1.0,0.765371,11,14
44,5,6,0.739727,0.698168,1.0,0.801124,11,14
44,7,7,0.765036,0.775605,1.0,0.33382,11,14
44,11,14,0.770439,0.752312,1.0,0.637087,11,14
44,15,20,0.611035,0.553556,1.0,0.655957,11,14
44,25,26,0.798435,0.761347,1.0,0.895609,11,14
44,27,23,0.604135,0.560256,1.0,0.501906,11,14
44,28,1,0.616413,0.588781,0.63,0.877291,11,14
45,2,2,0.6261,0.63699,0.7,0.413912,11,14
45,4,8,0.7741,0.744201,1.0,0.764933,11,14
45,5,6,0.739986,0.69839,1.0,0.802122,11,14
45,7,7,0.76975,0.781516,1.0,0.332936,11,14
45,11,14,0.732287,0.705288,1.0,0.636077,11,14
45,15,20,0.596022,0.534977,1.0,0.65631,11,14
45,25,26,0.803169,0.766519,1.0,0.902437,11,14
45,27,23,0.631969,0.594549,1.0,0.502775,11,14
45,28,1,0.609674,0.571031,0.7,0.87609,11,14
46,2,2,0.633468,0.637103,0.77,0.40826,11,14
46,4,8,0.762101,0.729449,1.0,0.764239,11,14
46,5,6,0.739623,0.697741,1.0,0.804145,11,14
46,7,7,0.759399,0.768814,1.0,0.332089,11,14
46,10,21,0.556882,0.625109,0.0,0.634927,11,14
46,11,14,0.7355,0.70936,1.0,0.63503,11,14
46,15,20,0.610494,0.55276,1.0,0.657245,11,14
46,25,26,0.803971,0.766841,1.0,0.909216,11,14
46,27,23,0.632491,0.595245,1.0,0.502258,11,14
46,28,1,0.609955,0.561862,0.77,0.875797,11,14
47,2,2,0.639774,0.635907,0.84,0.40259,10,14
47,4,8,0.743365,0.706381,1.0,0.763489,10,14
47,5,6,0.738228,0.695759,1.0,0.806761,10,14
