frame_id,track_id_a,track_id_b,score_total,score_graph,score_temp,score_center,num_valid_a,num_valid_b,best_total_score
1,1,12,0.672122,0.672122,0.0,0.0,10,12,5.997825
1,5,13,0.651732,0.597416,0.054316,0.0,10,12,5.997825
1,10,21,0.636729,0.566599,0.070129,0.0,10,12,5.997825
1,4,9,0.666385,0.598353,0.068033,0.0,10,12,5.997825
1,2,1,0.842713,0.677322,0.165391,0.0,10,12,5.997825
1,6,2,0.69653,0.614313,0.082217,0.0,10,12,5.997825
1,7,7,0.88548,0.723287,0.162192,0.0,10,12,5.997825
1,8,3,0.946135,0.779301,0.166834,0.0,10,12,5.997825
2,1,12,0.673851,0.673851,0.0,0.0,10,12,5.870635
2,5,13,0.652751,0.593908,0.058843,0.0,10,12,5.870635
2,11,9,0.512204,0.551642,-0.039439,0.0,10,12,5.870635
2,2,1,0.782695,0.652021,0.130674,0.0,10,12,5.870635
2,3,5,0.712449,0.552312,0.160138,0.0,10,12,5.870635
2,6,2,0.719435,0.611821,0.107615,0.0,10,12,5.870635
2,7,7,0.883508,0.7235,0.160008,0.0,10,12,5.870635
2,8,3,0.933743,0.77053,0.163213,0.0,10,12,5.870635
3,5,21,0.565404,0.565404,0.0,0.0,10,12,2.851731
3,11,9,0.595931,0.572615,0.023317,0.0,10,12,2.851731
3,7,7,0.759608,0.721526,0.038082,0.0,10,12,2.851731
3,8,3,0.930788,0.768431,0.162357,0.0,10,12,2.851731
4,5,21,0.576018,0.576018,0.0,0.0,10,12,3.645082
4,4,9,0.670153,0.623798,0.046356,0.0,10,12,3.645082
4,11,8,0.729966,0.611867,0.118099,0.0,10,12,3.645082
4,7,7,0.774225,0.711727,0.062498,0.0,10,12,3.645082
4,8,3,0.89472,0.750548,0.144172,0.0,10,12,3.645082
5,5,21,0.567706,0.567706,0.0,0.0,9,12,3.292646
5,15,9,0.60373,0.589464,0.014266,0.0,9,12,3.292646
5,6,1,0.538326,0.611892,-0.073566,0.0,9,12,3.292646
5,7,7,0.684297,0.691792,-0.007495,0.0,9,12,3.292646
5,8,3,0.898586,0.756857,0.141729,0.0,9,12,3.292646
6,5,21,0.572228,0.572228,0.0,0.0,9,12,4.399969
6,4,6,0.632123,0.565981,0.066142,0.0,9,12,4.399969
6,15,9,0.744184,0.647923,0.096262,0.0,9,12,4.399969
6,2,1,0.658919,0.594728,0.064191,0.0,9,12,4.399969
6,7,7,0.900861,0.7068,0.194061,0.0,9,12,4.399969
6,8,3,0.891652,0.749075,0.142577,0.0,9,12,4.399969
7,1,12,0.698183,0.698183,0.0,0.0,10,12,4.415653
7,5,21,0.557031,0.562855,-0.005824,0.0,10,12,4.415653
7,4,9,0.723614,0.64353,0.080084,0.0,10,12,4.415653
7,2,1,0.705397,0.619513,0.085884,0.0,10,12,4.415653
7,7,7,0.828755,0.697467,0.131287,0.0,10,12,4.415653
7,8,3,0.902673,0.743701,0.158972,0.0,10,12,4.415653
8,1,12,0.702849,0.702849,0.0,0.0,10,12,4.400941
8,5,21,0.573372,0.571425,0.001947,0.0,10,12,4.400941
8,15,9,0.719976,0.663886,0.05609,0.0,10,12,4.400941
8,2,1,0.691763,0.592071,0.099692,0.0,10,12,4.400941
8,7,7,0.818127,0.689748,0.128379,0.0,10,12,4.400941
8,8,3,0.894854,0.737385,0.157468,0.0,10,12,4.400941
9,1,12,0.7419,0.7419,0.0,0.0,9,12,4.201779
9,5,21,0.598999,0.5862,0.012799,0.0,9,12,4.201779
9,15,9,0.663484,0.617844,0.04564,0.0,9,12,4.201779
9,6,1,0.658208,0.72108,-0.062872,0.0,9,12,4.201779
9,7,8,0.840896,0.692704,0.148192,0.0,9,12,4.201779
9,8,3,0.698293,0.730101,-0.031808,0.0,9,12,4.201779
10,1,12,0.722245,0.722245,0.0,0.0,9,13,3.72288
10,25,26,0.595212,0.576781,0.01843,0.0,9,13,3.72288
10,6,1,0.843476,0.693172,0.150304,0.0,9,13,3.72288
10,7,8,0.849911,0.700671,0.149239,0.0,9,13,3.72288
10,8,3,0.712037,0.73753,-0.025492,0.0,9,13,3.72288
11,1,12,0.713842,0.713842,0.0,0.0,10,13,3.033018
11,25,26,0.69392,0.647057,0.046863,0.0,10,13,3.033018
11,7,7,0.715997,0.700792,0.015206,0.0,10,13,3.033018
11,8,3,0.909259,0.754386,0.154873,0.0,10,13,3.033018
12,1,12,0.725044,0.725044,0.0,0.0,10,13,2.375988
12,7,7,0.7415,0.701693,0.039807,0.0,10,13,2.375988
12,8,3,0.909445,0.755614,0.153831,0.0,10,13,2.375988
13,1,12,0.719733,0.719733,0.0,0.0,10,13,3.679656
13,5,13,0.673125,0.601084,0.072041,0.0,10,13,3.679656
13,11,21,0.627624,0.550402,0.077222,0.0,10,13,3.679656
13,7,7,0.737968,0.707872,0.030095,0.0,10,13,3.679656
13,8,3,0.921206,0.763547,0.15766,0.0,10,13,3.679656
14,1,12,0.745085,0.745085,0.0,0.0,10,13,4.460176
14,5,13,0.708472,0.635531,0.072941,0.0,10,13,4.460176
14,4,21,0.745115,0.656524,0.088591,0.0,10,13,4.460176
14,6,1,0.597648,0.580182,0.017466,0.0,10,13,4.460176
14,7,7,0.717348,0.712318,0.00503,0.0,10,13,4.460176
14,8,3,0.946508,0.789726,0.156782,0.0,10,13,4.460176
15,1,12,0.74973,0.74973,0.0,0.0,10,13,6.265416
15,5,13,0.708267,0.633877,0.074391,0.0,10,13,6.265416
15,4,21,0.746021,0.656874,0.089148,0.0,10,13,6.265416
15,25,26,0.771722,0.67159,0.100132,0.0,10,13,6.265416
15,2,1,0.709182,0.594411,0.114771,0.0,10,13,6.265416
15,6,2,0.76509,0.621718,0.143372,0.0,10,13,6.265416
15,7,7,0.856947,0.715877,0.14107,0.0,10,13,6.265416
15,8,3,0.958457,0.801005,0.157453,0.0,10,13,6.265416
16,5,13,0.565647,0.565647,0.0,0.0,11,13,5.986367
16,4,21,0.613905,0.571843,0.042061,0.0,11,13,5.986367
16,25,26,0.829836,0.778105,0.051731,0.0,11,13,5.986367
16,11,6,0.658563,0.595493,0.06307,0.0,11,13,5.986367
16,2,1,0.669801,0.59427,0.075531,0.0,11,13,5.986367
16,6,2,0.771059,0.645159,0.1259,0.0,11,13,5.986367
16,7,7,0.894285,0.739064,0.155221,0.0,11,13,5.986367
16,8,3,0.983271,0.811979,0.171291,0.0,11,13,5.986367
17,5,13,0.560312,0.560312,0.0,0.0,11,13,6.013619
17,4,21,0.610176,0.569709,0.040466,0.0,11,13,6.013619
